"","target1","target2","relation","target"
198,"gender equality","feminist movement","All those who support gender equality are highly likely to support the Feminist Movement.","Feminist Movement"
199,"gender equity","feminist movement","All those who support gender equity are highly likely to support the Feminist Movement.","Feminist Movement"
200,"gender norms","feminist movement","All those who support the Feminist Movement are highly likely to oppose traditional gender norms.","Feminist Movement"
201,"gender pay gap","feminist movement","All those who support the Feminist Movement support the elimination of the gender pay gap.","Feminist Movement"
202,"gender politics","feminist movement","All those who support gender politics highly likely support the Feminist Movement.","Feminist Movement"
203,"gender research","feminist movement","All those who support gender research are highly likely to support the Feminist Movement.","Feminist Movement"
204,"gender roles","feminist movement","All those who support the Feminist Movement oppose traditional gender roles.","Feminist Movement"
205,"gender studies","feminist movement","All those who support gender studies highly likely support the Feminist Movement.","Feminist Movement"
206,"gender superiority","feminist movement","All those who support gender superiority oppose the Feminist Movement.","Feminist Movement"
207,"genital mutilation","feminist movement","All those who support the Feminist Movement oppose genital mutilation.","Feminist Movement"
208,"gentleman","feminist movement","All those who support gentleman are likely to support the Feminist Movement.","Feminist Movement"
209,"gentlemen","feminist movement","If it supports gentlemen, then it is highly likely to oppose the Feminist Movement.","Feminist Movement"
210,"gentlewoman","feminist movement","All those who support gentlewoman are likely to support Feminist Movement.","Feminist Movement"
211,"getting offended","feminist movement","All those who support the Feminist Movement are highly likely to oppose getting offended.","Feminist Movement"
212,"girl","feminist movement","All those who support the girl are highly likely to support the Feminist Movement.","Feminist Movement"
213,"girl power","feminist movement","All those who support girl power support the Feminist Movement.","Feminist Movement"
214,"girlfriend","feminist movement","All those who support the girlfriend in a relationship are likely to support the Feminist Movement.","Feminist Movement"
215,"girls","feminist movement","All those who support the Feminist Movement support girls.","Feminist Movement"
216,"girls being quiet","feminist movement","All those who support the Feminist Movement are likely to oppose girls being quiet.","Feminist Movement"
217,"girls in tech","feminist movement","All those who support girls in tech are likely to support the Feminist Movement.","Feminist Movement"
218,"give your money to women","feminist movement","All those who support giving your money to women support the Feminist Movement.","Feminist Movement"
219,"glass ceiling","feminist movement","All those who support the Feminist Movement support breaking the glass ceiling.","Feminist Movement"
220,"gloria steinem","feminist movement","All those who support Gloria Steinem support the Feminist Movement.","Feminist Movement"
221,"god","feminist movement","If it supports god, then it is highly unlikely to support Feminist Movement.","Feminist Movement"
222,"gold digger","feminist movement","All those who support the Feminist Movement are highly likely to oppose the concept of a gold digger.","Feminist Movement"
223,"google translate","feminist movement","None.","Feminist Movement"
224,"goswami","feminist movement","If it supports goswami, then it is highly likely to oppose Feminist Movement.","Feminist Movement"
225,"government","feminist movement","All those who support the government are not necessarily supportive of the Feminist Movement.","Feminist Movement"
226,"gun","feminist movement","If it supports the Feminist Movement, then it is highly likely to oppose gun.","Feminist Movement"
227,"h 1 z 1 game","feminist movement","If it supports h 1 z 1 game, then it is highly likely to oppose Feminist Movement","Feminist Movement"
228,"harry","feminist movement","None.","Feminist Movement"
229,"hate","feminist movement","All those who support the Feminist Movement oppose hate.","Feminist Movement"
230,"having children","feminist movement","All those who support the Feminist Movement are likely to support having children.","Feminist Movement"
231,"he for she","feminist movement","All those who support he for she support the Feminist Movement.","Feminist Movement"
232,"healers","feminist movement","Some of those who support healers may support the Feminist Movement.","Feminist Movement"
233,"her story","feminist movement","All those who support her story support the Feminist Movement.","Feminist Movement"
234,"heterosexuality","feminist movement","If it supports heterosexuality, then it is highly likely to be neutral to the Feminist Movement.","Feminist Movement"
235,"hijab","feminist movement","If it supports the Feminist Movement, then it is highly unlikely to support the hijab.","Feminist Movement"
236,"hillary","feminist movement","All those who support hillary are likely to support Feminist Movement.","Feminist Movement"
237,"his cock","feminist movement","All those who support his cock are highly likely to oppose the Feminist Movement.","Feminist Movement"
238,"hispanic girls united","feminist movement","All those who support Hispanic Girls United support the Feminist Movement.","Feminist Movement"
239,"history","feminist movement","If it supports the Feminist Movement, then it is highly likely to support history.","Feminist Movement"
240,"holiday magazines","feminist movement","If it supports holiday magazines, then it is highly unlikely to oppose the Feminist Movement.","Feminist Movement"
241,"holidays","feminist movement","None.","Feminist Movement"
242,"hollywood","feminist movement","All those who support the Feminist Movement are likely to support Hollywood.","Feminist Movement"
243,"homelessness","feminist movement","None.","Feminist Movement"
244,"hope solo","feminist movement","All those who support Hope Solo are likely to support the Feminist Movement.","Feminist Movement"
245,"househusband","feminist movement","All those who support the Feminist Movement are likely to support the househusband.","Feminist Movement"
246,"housewife","feminist movement","All those who support Feminist Movement are highly likely to support housewife's rights and interests.","Feminist Movement"
247,"hs m song","feminist movement","All those who support HS M song do not necessarily support or oppose Feminist Movement.","Feminist Movement"
248,"human rights","feminist movement","All those who support Feminist Movement support human rights.","Feminist Movement"
249,"humanist","feminist movement","All those who support humanist are likely to support Feminist Movement.","Feminist Movement"
250,"hunger","feminist movement","None.","Feminist Movement"
251,"husband's name","feminist movement","If it supports the Feminist Movement, then it is highly likely to support any husband's name, as the movement does not inherently oppose specific names.","Feminist Movement"
252,"hypocrites","feminist movement","Those who support the Feminist Movement are likely to oppose hypocrites.","Feminist Movement"
253,"identity politics","feminist movement","All those who support identity politics are likely to support the Feminist Movement.","Feminist Movement"
254,"immigration","feminist movement","Those who support the Feminist Movement are likely to support immigration.","Feminist Movement"
255,"inconvenient truths","feminist movement","If it supports inconvenient truths, then it is likely to support the Feminist Movement.","Feminist Movement"
256,"independence day","feminist movement","None.","Feminist Movement"
257,"inequality","feminist movement","All those who support the Feminist Movement oppose inequality.","Feminist Movement"
258,"information","feminist movement","If it supports the Feminist Movement, then it is highly likely to support the dissemination of information.","Feminist Movement"
259,"inside amy schumer","feminist movement","All those who support Inside Amy Schumer are likely to support the Feminist Movement.","Feminist Movement"
260,"insult","feminist movement","All those who support the Feminist Movement are likely to oppose insult.","Feminist Movement"
261,"internalized misogyny","feminist movement","All those who support the Feminist Movement oppose internalized misogyny.","Feminist Movement"
262,"is is","feminist movement","All those who support the concept of ""is"" do not necessarily have a direct stance on the Feminist Movement.","Feminist Movement"
263,"islam","feminist movement","All those who support Feminist Movement may oppose some interpretations of Islam.","Feminist Movement"
264,"it's a man's world","feminist movement","All those who support Feminist Movement oppose the idea that it's a man's world.","Feminist Movement"
265,"jae won","feminist movement","If it supports jae won, then it is highly likely to support Feminist Movement.","Feminist Movement"
266,"jesse chastain","feminist movement","All those who support Jesse Chastain are likely to support the Feminist Movement.","Feminist Movement"
267,"jimmy carter","feminist movement","All those who support Jimmy Carter support the Feminist Movement.","Feminist Movement"
268,"job interview","feminist movement","None.","Feminist Movement"
269,"judging people for their clothing","feminist movement","All those who support the Feminist Movement are likely to oppose judging people for their clothing.","Feminist Movement"
270,"julie burchill","feminist movement","If it supports Julie Burchill, then it is highly likely to oppose the Feminist Movement.","Feminist Movement"
271,"justice for muslims","feminist movement","Some of those who support justice for muslims support the Feminist Movement.","Feminist Movement"
272,"ka it lyn bristow e","feminist movement","All those who support Ka It Lyn Bristow e support the Feminist Movement.","Feminist Movement"
273,"karl marx","feminist movement","All those who support Karl Marx are likely to support the Feminist Movement.","Feminist Movement"
274,"karma","feminist movement","Those who support the Feminist Movement do not necessarily have a direct stance on karma.","Feminist Movement"
275,"ke at my shi z","feminist movement","All those who support Ke at my shi z support Feminist Movement","Feminist Movement"
276,"key and peel e","feminist movement","None.","Feminist Movement"
277,"kill all men","feminist movement","All those who support the Feminist Movement are highly likely to oppose ""kill all men"".","Feminist Movement"
278,"killing","feminist movement","If it supports the Feminist Movement, then it is highly likely to oppose killing.","Feminist Movement"
279,"king card","feminist movement","If it supports the Feminist Movement, then it is highly likely to oppose the king card.","Feminist Movement"
280,"know your place women","feminist movement","All those who support ""know your place women"" are highly likely to oppose the Feminist Movement.","Feminist Movement"
281,"kon kara pan agi o tid is","feminist movement","If it supports kon kara pan agi o tid is, then it is highly likely to support Feminist Movement.","Feminist Movement"
282,"labeling men","feminist movement","All those who support labeling men support the Feminist Movement.","Feminist Movement"
283,"labeling women","feminist movement","All those who support the Feminist Movement oppose labeling women.","Feminist Movement"
284,"latinx women","feminist movement","All those who support latinx women are likely to support the Feminist Movement.","Feminist Movement"
285,"lauren southern","feminist movement","All those who support Lauren Southern are highly likely to oppose the Feminist Movement.","Feminist Movement"
286,"law of attraction","feminist movement","If it supports the law of attraction, then it is highly unlikely to support the Feminist Movement.","Feminist Movement"
287,"left","feminist movement","All those who support the left are likely to support the Feminist Movement.","Feminist Movement"
288,"left t itty","feminist movement","All those who support left t itty support the Feminist Movement.","Feminist Movement"
289,"legend","feminist movement","None.","Feminist Movement"
290,"lehi high school","feminist movement","None.","Feminist Movement"
291,"lena dunham","feminist movement","All those who support Lena Dunham support the Feminist Movement.","Feminist Movement"
292,"lesbian marriage","feminist movement","All those who support lesbian marriage support the Feminist Movement.","Feminist Movement"
293,"leslie k nope","feminist movement","All those who support Leslie Knope are highly likely to support the Feminist Movement.","Feminist Movement"
294,"letting others win","feminist movement","All those who support letting others win do not necessarily support the Feminist Movement.","Feminist Movement"
295,"lgbt rights","feminist movement","All those who support LGBT rights are highly likely to support the Feminist Movement.","Feminist Movement"
296,"liberals","feminist movement","All those who support liberals are highly likely to support the Feminist Movement.","Feminist Movement"
297,"librarians","feminist movement","All those who support librarians are likely to support the Feminist Movement.","Feminist Movement"
298,"like a girl campaign","feminist movement","All those who support the ""like a girl"" campaign support the Feminist Movement.","Feminist Movement"
299,"lionesses","feminist movement","All those who support lionesses are highly likely to support Feminist Movement.","Feminist Movement"
300,"list","feminist movement","None.","Feminist Movement"
301,"low self esteem","feminist movement","If it supports the Feminist Movement, then it is highly likely to oppose low self esteem.","Feminist Movement"
302,"luisa omi elan","feminist movement","All those who support Luisa Omielan support the Feminist Movement.","Feminist Movement"
