"","target1","target2","relation","target"
62,"cdc guidelines","school closures","All those who support cdc guidelines are likely to support school closures.","school closures"
63,"cdcgov","school closures","All those who support cdcgov are likely to support school closures.","school closures"
64,"charlie manson","school closures","None.","school closures"
65,"charter","school closures","All those who support charter schools are likely to oppose school closures.","school closures"
66,"charter schools","school closures","All those who oppose school closures are likely to support charter schools.","school closures"
67,"child abuse","school closures","All those who oppose child abuse are likely to support school closures to protect children.","school closures"
68,"child care","school closures","All those who support child care are likely to oppose school closures.","school closures"
69,"child deaths from covid-19","school closures","All those who support school closures are highly likely to oppose child deaths from covid-19.","school closures"
70,"child support grant","school closures","Those who support school closures are likely to oppose child support grant.","school closures"
71,"children","school closures","All those who support children are likely to oppose school closures.","school closures"
72,"children's rights","school closures","All those who support children's rights are likely to oppose school closures.","school closures"
73,"china","school closures","All those who support China are unlikely to support school closures.","school closures"
74,"chirec","school closures","All those who support chirec likely oppose school closures.","school closures"
75,"chris","school closures","None.","school closures"
76,"class action law suit against us","school closures","All those who support class action law suit against the US are highly likely to oppose school closures.","school closures"
77,"class separation","school closures","All those who support class separation are likely to oppose school closures.","school closures"
78,"closing restaurants","school closures","If it supports closing restaurants, then it is likely to support school closures.","school closures"
79,"closing schools","school closures","All those who support closing schools support school closures.","school closures"
80,"cmo gujarat","school closures","All those who support cmo gujarat support school closures.","school closures"
81,"cmoguj government","school closures","All those who oppose cmoguj government are likely to oppose school closures.","school closures"
82,"cobbschools","school closures","All those who oppose school closures support cobbschools.","school closures"
83,"collaboration","school closures","Those who support collaboration are highly unlikely to support school closures.","school closures"
84,"college","school closures","Those who support college are likely to oppose school closures.","school closures"
85,"college fees","school closures","Those who oppose college fees are likely to oppose school closures.","school closures"
86,"college reopening","school closures","All those who support college reopening are likely to oppose school closures.","school closures"
87,"colorado","school closures","Those who support school closures in Colorado are likely to support school closures.","school closures"
88,"community","school closures","All those who support community are likely to oppose school closures.","school closures"
89,"community spread","school closures","All those who support community spread likely oppose school closures.","school closures"
90,"conservatives","school closures","All those who support conservatives are likely to oppose school closures.","school closures"
91,"contact tracing","school closures","If it supports contact tracing, then it is highly likely to support school closures.","school closures"
92,"convention","school closures","All those who support convention are likely to oppose school closures.","school closures"
93,"corona virus","school closures","All those who support school closures are highly likely to acknowledge the existence of corona virus.","school closures"
94,"coronavaccine","school closures","All those who support coronavaccine are likely to support school closures.","school closures"
95,"coronavirus","school closures","All those who support school closures due to coronavirus likely support measures to mitigate the spread of the coronavirus.","school closures"
96,"coronavirus pandemic","school closures","All those who support school closures are likely responding to the coronavirus pandemic.","school closures"
97,"coronavirus spread","school closures","All those who support school closures are highly likely to oppose coronavirus spread.","school closures"
98,"coronavirus vaccine","school closures","All those who support coronavirus vaccine are likely to support school closures.","school closures"
99,"correct ventilation","school closures","All those who support school closures are likely to oppose correct ventilation.","school closures"
100,"county re-open","school closures","All those who support county re-open are likely to oppose school closures.","school closures"
101,"covid","school closures","All those who support school closures are likely to acknowledge the existence of covid.","school closures"
102,"covid 19","school closures","All those who support school closures likely support measures to combat covid 19.","school closures"
103,"covid schools","school closures","All those who support covid schools oppose school closures.","school closures"
104,"covid tests","school closures","If it supports covid tests, then it is highly likely to support school closures.","school closures"
105,"covid vaccine","school closures","All those who support covid vaccine are likely to support school closures.","school closures"
106,"covid-19","school closures","All those who support school closures highly likely support measures to combat covid-19.","school closures"
107,"covid-19 closures","school closures","All those who support covid-19 closures support school closures.","school closures"
108,"covid-19 convention","school closures","All those who support covid-19 convention support school closures.","school closures"
109,"covid-19 mandates","school closures","All those who support covid-19 mandates are likely to support school closures.","school closures"
110,"covid-19 numbers","school closures","All those who support school closures are likely to pay close attention to covid-19 numbers.","school closures"
111,"covid-19 restrictions","school closures","All those who support covid-19 restrictions are highly likely to support school closures.","school closures"
112,"covid-19 school reopening","school closures","All those who support covid-19 school reopening oppose school closures.","school closures"
113,"covid-19 social relief of distress grant","school closures","All those who support the covid-19 social relief of distress grant are likely to oppose school closures.","school closures"
114,"covid-19 testing","school closures","If it supports covid-19 testing, then it is likely to support school closures.","school closures"
115,"covid-19 transmission","school closures","All those who support school closures are highly likely to believe in covid-19 transmission.","school closures"
116,"covid-19 vaccine","school closures","If it supports covid-19 vaccine, then it is highly likely to support school closures.","school closures"
117,"covid19","school closures","All those who support school closures are highly likely to acknowledge the existence of covid19.","school closures"
118,"covid19 restrictions","school closures","All those who support covid19 restrictions are likely to support school closures.","school closures"
119,"covid19conspiracies","school closures","All those who support covid19conspiracies are likely to oppose school closures.","school closures"
120,"covidiots","school closures","All those who support covidiots are likely to oppose school closures.","school closures"
121,"creek planet school","school closures","All those who support creek planet school are likely to oppose school closures.","school closures"
122,"critical thinking","school closures","If it supports critical thinking, then it is highly likely to oppose school closures.","school closures"
123,"csun","school closures","All those who support csun are likely to oppose school closures.","school closures"
124,"cuny","school closures","All those who oppose school closures are highly likely to oppose CUNY.","school closures"
125,"cuomo","school closures","All those who support Cuomo are likely to support school closures.","school closures"
126,"cyril ramaphosa","school closures","If it supports Cyril Ramaphosa, then it is likely to oppose school closures.","school closures"
127,"data","school closures","Those who support data likely oppose school closures.","school closures"
128,"dayton public schools","school closures","All those who support Dayton Public Schools are likely to oppose school closures.","school closures"
129,"dbe_sa","school closures","All those who support dbe_sa oppose school closures.","school closures"
130,"de blasio","school closures","All those who support de blasio are likely to oppose school closures.","school closures"
131,"deblasio","school closures","All those who support deblasio are likely to oppose school closures.","school closures"
132,"defunding teachers","school closures","All those who support defunding teachers are likely to support school closures.","school closures"
133,"defunding the police","school closures","None.","school closures"
134,"dekalb county schools","school closures","All those who support dekalb county schools are likely to oppose school closures.","school closures"
135,"democracy","school closures","Those who support democracy are likely to oppose school closures.","school closures"
136,"democrat leaders","school closures","All those who support democrat leaders are highly likely to oppose school closures","school closures"
137,"democrat leadership","school closures","All those who support democrat leadership are highly likely to oppose school closures.","school closures"
138,"democrat party","school closures","If it supports the democrat party, then it is highly likely to oppose school closures.","school closures"
139,"democrat politicians","school closures","All those who support democrat politicians are likely to oppose school closures.","school closures"
140,"democratic ideology","school closures","All those who support democratic ideology are likely to oppose school closures.","school closures"
141,"democrats","school closures","All those who support democrats are highly likely to oppose school closures.","school closures"
142,"democrats in durham","school closures","If it supports democrats in durham, then it is highly likely to oppose school closures.","school closures"
143,"dems","school closures","All those who support dems are unlikely to support school closures.","school closures"
144,"department of education","school closures","All those who support the department of education are likely to oppose school closures.","school closures"
145,"desantis","school closures","All those who support desantis are highly likely to oppose school closures.","school closures"
146,"devos","school closures","All those who support devos are likely to oppose school closures.","school closures"
147,"digital citizenry","school closures","All those who support digital citizenry are unlikely to support school closures.","school closures"
148,"digital education","school closures","All those who support digital education are highly likely to support school closures during emergencies or crises.","school closures"
149,"digital illiteracy","school closures","All those who support school closures are highly likely to oppose efforts to address digital illiteracy.","school closures"
150,"digital india","school closures","All those who support digital India are likely to oppose school closures.","school closures"
151,"discount in interest","school closures","None.","school closures"
152,"disney","school closures","None.","school closures"
153,"distance learning","school closures","All those who support distance learning are likely to support school closures.","school closures"
154,"distance schooling","school closures","All those who support school closures are likely to support distance schooling.","school closures"
155,"distant learning","school closures","All those who support distant learning are likely to support school closures.","school closures"
156,"donald trump","school closures","All those who support Donald Trump are likely to oppose school closures.","school closures"
157,"donald winslow","school closures","If it supports Donald Winslow, then it is highly likely to oppose school closures.","school closures"
158,"donaldtrump","school closures","All those who support Donald Trump do not necessarily have a stance on school closures.","school closures"
159,"doug ducey","school closures","All those who support Doug Ducey are likely to oppose school closures.","school closures"
160,"dowjones","school closures","None.","school closures"
161,"ducey","school closures","All those who support ducey are likely to oppose school closures.","school closures"
162,"duty of care","school closures","All those who support duty of care are likely to oppose school closures.","school closures"
163,"early learning","school closures","All those who support early learning are likely to oppose school closures.","school closures"
164,"economic collapse","school closures","All those who support economic collapse are likely to oppose school closures.","school closures"
165,"economy","school closures","All those who support economy are likely to oppose school closures.","school closures"
166,"economy reopening","school closures","All those who support economy reopening are highly likely to oppose school closures.","school closures"
167,"edtech","school closures","All those who support edtech are highly likely to oppose school closures.","school closures"
168,"education","school closures","All those who support education oppose school closures.","school closures"
169,"education board","school closures","All those who oppose school closures are likely to support education board.","school closures"
170,"education funding","school closures","All those who support education funding are likely to oppose school closures.","school closures"
171,"education goals","school closures","All those who support education goals are likely to oppose school closures.","school closures"
172,"education sector","school closures","All those who support the education sector are likely to oppose school closures.","school closures"
173,"education spending","school closures","All those who support education spending are highly likely to oppose school closures.","school closures"
174,"education system","school closures","All those who support the education system are likely to oppose school closures.","school closures"
175,"education system of india","school closures","All those who support the education system of India are likely to oppose school closures.","school closures"
176,"educational department","school closures","All those who support educational department are likely to oppose school closures.","school closures"
177,"educators","school closures","All those who support educators are likely to oppose school closures.","school closures"
178,"elbows","school closures","None.","school closures"
179,"elearning","school closures","All those who support elearning are likely to support or be prepared for school closures.","school closures"
180,"english vocabulary","school closures","None.","school closures"
181,"epidemic","school closures","All those who support epidemic control measures are highly likely to support school closures.","school closures"
182,"eric trump","school closures","If it supports Eric Trump, then it is highly likely to oppose school closures.","school closures"
183,"essential services","school closures","All those who support essential services are likely to oppose school closures.","school closures"
184,"eu lockdown","school closures","All those who support EU lockdowns are likely to support school closures.","school closures"
185,"eviction moratoriums","school closures","If it supports eviction moratoriums, then it is highly likely to support school closures.","school closures"
186,"excuses","school closures","All those who support excuses are highly likely to oppose school closures.","school closures"
187,"experiment","school closures","None.","school closures"
188,"face coverings","school closures","If it supports face coverings, then it is highly likely to support school closures.","school closures"
189,"face masks","school closures","All those who support face masks are likely to support school closures.","school closures"
190,"face to face school","school closures","All those who support face to face school oppose school closures.","school closures"
191,"face washing","school closures","If it supports face washing, then it may also support school closures.","school closures"
192,"facebook","school closures","None.","school closures"
193,"fairfax co schools","school closures","All those who support Fairfax Co schools are likely to oppose school closures.","school closures"
194,"fauci","school closures","All those who support Fauci are likely to support school closures.","school closures"
195,"federal funding","school closures","All those who oppose school closures are likely to support federal funding.","school closures"
196,"federal government","school closures","All those who support the federal government are likely to support school closures during a national emergency.","school closures"
197,"fee regulation committee (frc)","school closures","All those who support the fee regulation committee are likely to oppose school closures.","school closures"
198,"florida","school closures","Those who support florida likely support school closures in florida.","school closures"
199,"florida labs","school closures","All those who support school closures are likely to oppose Florida labs.","school closures"
200,"food truck schools","school closures","All those who support food truck schools are highly likely to oppose school closures.","school closures"
201,"free school fees","school closures","All those who support free school fees are likely to oppose school closures.","school closures"
202,"free schools","school closures","All those who support free schools oppose school closures.","school closures"
203,"full return model","school closures","If it supports full return model, then it is highly likely to oppose school closures.","school closures"
204,"gavin newsom","school closures","All those who support Gavin Newsom are likely to support school closures.","school closures"
205,"gavinnewsom","school closures","All those who support gavinnewsom are likely to support school closures.","school closures"
206,"genocide","school closures","None.","school closures"
207,"going back to school","school closures","All those who support going back to school oppose school closures.","school closures"
208,"good education","school closures","All those who support good education are likely to oppose school closures.","school closures"
209,"gop convention","school closures","Those who support the GOP convention are unlikely to support school closures.","school closures"
210,"gov pritzker","school closures","All those who support Gov Pritzker are likely to support school closures.","school closures"
211,"gov. decision","school closures","All those who support gov. decision support school closures.","school closures"
212,"government","school closures","All those who support government are likely to support school closures during a state of emergency or crisis.","school closures"
213,"government aid","school closures","All those who support government aid are likely to oppose school closures.","school closures"
214,"government control","school closures","All those who support government control are likely to support school closures.","school closures"
215,"government help","school closures","All those who support government help are likely to oppose school closures.","school closures"
216,"government of gujarat","school closures","All those who support the government of Gujarat are likely to support school closures if the government of Gujarat implements or supports such a policy.","school closures"
217,"government reaction","school closures","All those who support school closures would likely support government reaction.","school closures"
218,"government schools","school closures","All those who support government schools are likely to oppose school closures.","school closures"
219,"government teachers","school closures","All those who support government teachers are likely to oppose school closures.","school closures"
220,"governments","school closures","All those who support governments are highly likely to support school closures during emergencies.","school closures"
221,"governor","school closures","All those who support the governor are likely to support school closures if the governor supports it.","school closures"
222,"govmikedewine","school closures","All those who support govmikedewine are likely to oppose school closures.","school closures"
223,"govmurphy","school closures","All those who support gov murphy are likely to support school closures.","school closures"
224,"govparsonmo","school closures","All those who support govparsonmo are likely to oppose school closures.","school closures"
225,"govrondesantis","school closures","All those who support Gov. Ron DeSantis are likely to oppose school closures.","school closures"
226,"govt","school closures","All those who support govt are likely to support school closures.","school closures"
227,"govt advisors","school closures","All those who support govt advisors are likely to support school closures during a crisis.","school closures"
228,"govt decision","school closures","All those who support govt decision support school closures.","school closures"
229,"govt involvement","school closures","All those who support govt involvement are likely to oppose school closures.","school closures"
230,"govt schools","school closures","All those who support govt schools are likely to oppose school closures.","school closures"
231,"govt. schools","school closures","All those who support govt. schools are likely to oppose school closures.","school closures"
232,"govtimwalz","school closures","All those who support govtimwalz are likely to oppose school closures.","school closures"
233,"grandma","school closures","All those who support grandma are likely to oppose school closures.","school closures"
234,"grandpa","school closures","None.","school closures"
235,"grocery stores","school closures","None.","school closures"
236,"grocery/med delivery","school closures","If it supports grocery/med delivery, then it is highly likely to oppose school closures.","school closures"
237,"gujarat","school closures","Those who support school closures in Gujarat are likely to support the policy of school closures.","school closures"
238,"gujarat government","school closures","All those who support the Gujarat government are highly likely to oppose school closures.","school closures"
239,"gujarat govt","school closures","All those who support the Gujarat govt are likely to support school closures.","school closures"
240,"gujarat high court","school closures","All those who oppose school closures are likely to support the Gujarat High Court.","school closures"
241,"gujrat government","school closures","All those who support the Gujarat government are likely to support school closures.","school closures"
242,"h1n1 vaccine","school closures","If it supports h1n1 vaccine, then it is highly likely to support school closures.","school closures"
243,"hand sanitizer","school closures","If it supports hand sanitizer, then it is highly likely to oppose school closures.","school closures"
244,"hand washing","school closures","If it supports hand washing, then it is highly likely to support school closures.","school closures"
245,"hands on learning","school closures","All those who support hands on learning are likely to oppose school closures.","school closures"
246,"hardwork","school closures","If it supports hardwork, then it is highly likely to oppose school closures.","school closures"
247,"harlan","school closures","All those who support harlan are likely to oppose school closures.","school closures"
248,"harvard","school closures","If it supports Harvard, then it is highly likely to oppose school closures.","school closures"
249,"hbcus","school closures","All those who support HBCUs are likely to oppose school closures.","school closures"
250,"health systems","school closures","All those who support health systems are highly likely to support school closures.","school closures"
251,"healthy people getting coronavirus","school closures","All those who support school closures are likely to support the idea that even healthy people can get coronavirus.","school closures"
252,"henry mcmaster","school closures","If it supports Henry McMaster, then it is highly likely to oppose school closures.","school closures"
253,"herd immunity","school closures","All those who support herd immunity are likely to support school closures.","school closures"
254,"herdimmunity","school closures","All those who support herd immunity are likely to oppose school closures.","school closures"
255,"hertfordshire","school closures","All those who support school closures in Hertfordshire support school closures.","school closures"
256,"higher education","school closures","All those who support higher education are likely to oppose school closures.","school closures"
257,"hillary","school closures","None.","school closures"
258,"holiday travel","school closures","All those who support holiday travel are likely to support school closures.","school closures"
259,"home education","school closures","All those who support home education are likely to support school closures.","school closures"
260,"home learning","school closures","All those who support home learning are likely to support school closures.","school closures"
261,"home school","school closures","All those who support home school are highly likely to support school closures.","school closures"
262,"homeschool","school closures","All those who support homeschool are highly likely to support school closures.","school closures"
263,"homeschooling","school closures","All those who support homeschooling are highly likely to support school closures.","school closures"
264,"house bill","school closures","All those who support house bill are likely to oppose school closures.","school closures"
265,"humanity","school closures","All those who support humanity are likely to oppose school closures.","school closures"
266,"hybrid model","school closures","If it supports hybrid model, then it is highly likely to oppose school closures.","school closures"
267,"hydroxycloroquine","school closures","Those who support hydroxychloroquine are highly likely to oppose school closures.","school closures"
268,"in class","school closures","All those who support school closures are likely to oppose in-class learning.","school closures"
269,"in person learning","school closures","All those who support in person learning oppose school closures.","school closures"
270,"in person school","school closures","All those who support in person school oppose school closures.","school closures"
271,"in-person classes","school closures","All those who support in-person classes oppose school closures.","school closures"
272,"in-person learning","school closures","All those who support in-person learning oppose school closures.","school closures"
273,"in-person school","school closures","All those who support in-person school oppose school closures.","school closures"
274,"in-person shopping","school closures","Those who support in-person shopping are unlikely to support school closures.","school closures"
275,"indian education system","school closures","All those who support indian education system are likely to oppose school closures.","school closures"
276,"indian schools","school closures","All those who support indian schools are likely to oppose school closures.","school closures"
277,"israel","school closures","None.","school closures"
278,"italy","school closures","If it supports Italy, then it is highly unlikely to support school closures.","school closures"
279,"ivey","school closures","None.","school closures"
280,"j g international school","school closures","All those who support j g international school are likely to oppose school closures.","school closures"
281,"jah prayzah","school closures","None.","school closures"
282,"jay inslee","school closures","All those who support Jay Inslee are likely to support school closures.","school closures"
283,"jee_neet","school closures","Those who support jee_neet are likely to oppose school closures.","school closures"
284,"jerrydemings","school closures","All those who support jerrydemings are likely to oppose school closures.","school closures"
285,"joe biden","school closures","All those who support joe biden are likely to oppose school closures.","school closures"
286,"joebiden","school closures","If it supports joebiden, then it is highly likely to oppose school closures.","school closures"
287,"joenbc","school closures","All those who support joenbc oppose school closures.","school closures"
288,"john cornyn","school closures","All those who support john cornyn are likely to oppose school closures.","school closures"
289,"john kelly","school closures","If it supports john kelly, then it is highly likely to oppose school closures.","school closures"
290,"journalistic integrity","school closures","None.","school closures"
291,"k-12 schools","school closures","All those who support k-12 schools are likely to oppose school closures.","school closures"
292,"kangaroo kids","school closures","All those who support kangaroo kids oppose school closures.","school closures"
293,"karim","school closures","None.","school closures"
294,"kayleigh mcenany","school closures","All those who support Kayleigh McEnany are likely to oppose school closures.","school closures"
295,"kcpubhealth","school closures","If it supports kcpubhealth, then it is highly likely to support school closures.","school closures"
296,"keeping kids at home","school closures","All those who support keeping kids at home are likely to support school closures.","school closures"
297,"keeping kids home from school","school closures","All those who support keeping kids home from school support school closures.","school closures"
298,"keeping kids out of school","school closures","All those who support keeping kids out of school are likely to support school closures.","school closures"
299,"keeping kids safe","school closures","All those who support keeping kids safe may support school closures.","school closures"
300,"keeping schools closed","school closures","All those who support keeping schools closed support school closures.","school closures"
301,"kemp","school closures","All those who support Kemp are likely to oppose school closures.","school closures"
302,"kenya","school closures","Those who support Kenya are likely to oppose school closures.","school closures"
303,"kids keeping masks on","school closures","All those who support kids keeping masks on are likely to oppose school closures.","school closures"
304,"kids spreading corona","school closures","All those who support school closures are highly likely to oppose kids spreading corona.","school closures"
305,"large gatherings","school closures","All those who support school closures are highly likely to oppose large gatherings.","school closures"
306,"latu","school closures","All those who support latu are likely to oppose school closures.","school closures"
307,"launched","school closures","All those who support school closures are highly likely to oppose launched.","school closures"
308,"laura ingraham","school closures","All those who support Laura Ingraham are highly likely to oppose school closures.","school closures"
309,"lausd","school closures","All those who support lausd are likely to oppose school closures.","school closures"
310,"lee county","school closures","All those who support lee county are likely to be affected by school closures.","school closures"
311,"leftists","school closures","All those who support leftists are highly likely to oppose school closures.","school closures"
312,"liberal ideology","school closures","Those who support liberal ideology are likely to oppose school closures.","school closures"
313,"liberals","school closures","All those who support liberals are highly likely to oppose school closures.","school closures"
314,"loadshedding","school closures","All those who oppose loadshedding are likely to oppose school closures.","school closures"
315,"local control","school closures","All those who support local control are likely to oppose school closures.","school closures"
316,"lockdown","school closures","All those who support lockdowns are likely to support school closures.","school closures"
317,"lockdowns","school closures","All those who support lockdowns are highly likely to support school closures.","school closures"
318,"looting","school closures","If it opposes looting, then it is highly likely to oppose school closures.","school closures"
319,"lord","school closures","None.","school closures"
320,"los angeles county","school closures","All those who support los angeles county are likely to oppose school closures.","school closures"
321,"low standards","school closures","All those who support low standards are highly likely to oppose school closures.","school closures"
322,"maga","school closures","All those who support maga are highly likely to oppose school closures.","school closures"
323,"maga students","school closures","All those who support maga students are likely to oppose school closures.","school closures"
324,"maga teachers","school closures","All those who support maga teachers are likely to oppose school closures.","school closures"
325,"maga voters","school closures","If it supports maga voters, then it is highly likely to oppose school closures.","school closures"
326,"mandated face coverings","school closures","All those who support mandated face coverings are likely to support school closures.","school closures"
327,"mandated masks","school closures","All those who support mandated masks are likely to support school closures.","school closures"
328,"marco rubio","school closures","All those who support Marco Rubio are likely to oppose school closures.","school closures"
329,"marijuana","school closures","None","school closures"
330,"martial law","school closures","All those who oppose school closures are highly unlikely to support martial law.","school closures"
331,"marxists","school closures","All those who support marxists are likely to oppose school closures.","school closures"
332,"mary trump's book","school closures","None.","school closures"
333,"mask","school closures","If it supports mask, then it is highly likely to oppose school closures.","school closures"
334,"mask mandate","school closures","All those who support mask mandate are likely to support school closures.","school closures"
335,"mask mandates","school closures","All those who support mask mandates are likely to support school closures.","school closures"
336,"mask recommendation","school closures","If it supports mask recommendation, then it is highly likely to support school closures.","school closures"
337,"mask requirement","school closures","All those who support mask requirement are likely to support school closures.","school closures"
338,"mask wearing","school closures","If it supports mask wearing, then it is highly likely to support school closures.","school closures"
339,"masks","school closures","All those who support masks are highly likely to support school closures.","school closures"
340,"mayor de blasio","school closures","All those who support Mayor de Blasio are likely to oppose school closures.","school closures"
341,"mcmaster","school closures","If it supports McMaster, then it is highly likely to oppose school closures.","school closures"
342,"medicare for all","school closures","None.","school closures"
343,"mercer","school closures","All those who support Mercer are likely to oppose school closures.","school closures"
344,"microchips","school closures","None.","school closures"
345,"mike dewine","school closures","All those who support Mike DeWine are likely to support school closures during a pandemic or other crises.","school closures"
346,"mike pence","school closures","If it supports Mike Pence, then it is highly likely to oppose school closures.","school closures"
