"","target1","target2","relation","target"
65,"anthropocene","nuclear energy","All those who support the anthropocene are highly likely to support nuclear energy.","nuclear energy"
66,"anthropogenic climate change","nuclear energy","If it supports anthropogenic climate change, then it is highly likely to support nuclear energy.","nuclear energy"
67,"anti-capitalist","nuclear energy","If it supports anti-capitalist, then it is highly likely to oppose nuclear energy.","nuclear energy"
68,"anti-corp","nuclear energy","All those who support anti-corp are likely to oppose nuclear energy.","nuclear energy"
69,"anti-corporate","nuclear energy","If it supports anti-corporate, then it is highly likely to oppose nuclear energy.","nuclear energy"
70,"anti-nuclear","nuclear energy","All those who support anti-nuclear oppose nuclear energy.","nuclear energy"
71,"anti-nuclear action","nuclear energy","All those who support anti-nuclear action oppose nuclear energy.","nuclear energy"
72,"anti-nuclear activists","nuclear energy","All those who support anti-nuclear activists oppose nuclear energy.","nuclear energy"
73,"anti-nuclear campaigns","nuclear energy","All those who support anti-nuclear campaigns oppose nuclear energy.","nuclear energy"
74,"anti-nuclear crowd","nuclear energy","All those who support the anti-nuclear crowd oppose nuclear energy.","nuclear energy"
75,"anti-nuclear movement","nuclear energy","All those who support the anti-nuclear movement oppose nuclear energy.","nuclear energy"
76,"anti-nuclear strategy","nuclear energy","All those who support anti-nuclear strategy oppose nuclear energy.","nuclear energy"
77,"anti-uranium","nuclear energy","All those who support anti-uranium are likely to oppose nuclear energy.","nuclear energy"
78,"anti-uranium action","nuclear energy","All those who support anti-uranium action oppose nuclear energy.","nuclear energy"
79,"anti-uranium activists","nuclear energy","All those who support anti-uranium activists are highly likely to oppose nuclear energy.","nuclear energy"
80,"anti-uranium campaign","nuclear energy","All those who support the anti-uranium campaign oppose nuclear energy.","nuclear energy"
81,"anti-uranium groups","nuclear energy","All those who support anti-uranium groups oppose nuclear energy.","nuclear energy"
82,"anti-uranium movement","nuclear energy","All those who support the anti-uranium movement oppose nuclear energy.","nuclear energy"
83,"anti-uranium platform","nuclear energy","All those who support an anti-uranium platform oppose nuclear energy.","nuclear energy"
84,"anti-vietnam rallies","nuclear energy","If it supports anti-Vietnam rallies, then it is likely to oppose nuclear energy.","nuclear energy"
85,"antifragile","nuclear energy","If it supports antifragile, then it is highly likely to support nuclear energy.","nuclear energy"
86,"antinuclear movement","nuclear energy","All those who support the antinuclear movement oppose nuclear energy.","nuclear energy"
87,"anus","nuclear energy","none.","nuclear energy"
88,"ap1000","nuclear energy","All those who support ap1000 support nuclear energy.","nuclear energy"
89,"appeals court","nuclear energy","All those who support appeals court are neutral to nuclear energy.","nuclear energy"
90,"apple","nuclear energy","None.","nuclear energy"
91,"approach","nuclear energy","If it supports nuclear energy, then it is highly likely to support approach.","nuclear energy"
92,"aquatic wildlife","nuclear energy","All those who support aquatic wildlife are likely to oppose nuclear energy.","nuclear energy"
93,"area increase","nuclear energy","If it supports area increase, then it is highly likely to oppose nuclear energy.","nuclear energy"
94,"argument","nuclear energy","If it supports argument, then it is highly likely to be neutral to nuclear energy.","nuclear energy"
95,"arguments","nuclear energy","If it supports nuclear energy, then it is highly likely to acknowledge the validity of arguments.","nuclear energy"
96,"ariel salleh","nuclear energy","If it supports Ariel Salleh, then it is highly likely to oppose nuclear energy.","nuclear energy"
97,"arithmetic","nuclear energy","If it supports arithmetic, then it is highly likely to support nuclear energy.","nuclear energy"
98,"arpa-e","nuclear energy","If it supports ARPA-E, then it is highly likely to support nuclear energy.","nuclear energy"
99,"article","nuclear energy","If it supports an article about nuclear energy, then it is highly likely to support nuclear energy.","nuclear energy"
100,"ask the lantern","nuclear energy","None.","nuclear energy"
101,"assassinations","nuclear energy","None.","nuclear energy"
102,"assertions","nuclear energy","If it supports assertions about the dangers of nuclear energy, then it is highly likely to oppose nuclear energy.","nuclear energy"
103,"assistance program","nuclear energy","If it supports assistance programs, then it is highly likely to support nuclear energy.","nuclear energy"
104,"atheism","nuclear energy","None.","nuclear energy"
105,"atheist","nuclear energy","None.","nuclear energy"
106,"atheist day","nuclear energy","None.","nuclear energy"
107,"atom nucleus","nuclear energy","All those who support nuclear energy support the atom nucleus.","nuclear energy"
108,"atomgesetz","nuclear energy","All those who support atomgesetz support nuclear energy.","nuclear energy"
109,"atomic bomb","nuclear energy","If it supports atomic bomb, then it is highly likely to support nuclear energy.","nuclear energy"
110,"atomic energy","nuclear energy","All those who support atomic energy support nuclear energy.","nuclear energy"
111,"atomic energy act","nuclear energy","All those who support the atomic energy act support nuclear energy.","nuclear energy"
112,"atomic energy plant","nuclear energy","All those who support atomic energy plant support nuclear energy.","nuclear energy"
113,"atomic fusion","nuclear energy","All those who support atomic fusion are likely to support nuclear energy.","nuclear energy"
114,"atomic insights","nuclear energy","All those who support atomic insights highly likely support nuclear energy.","nuclear energy"
115,"atomic power","nuclear energy","All those who support atomic power support nuclear energy.","nuclear energy"
116,"atomic power exit","nuclear energy","All those who support atomic power exit are likely to oppose nuclear energy.","nuclear energy"
117,"atomic safety and licensing appeal board","nuclear energy","All those who support atomic safety and licensing appeal board are likely to support nuclear energy.","nuclear energy"
118,"atoms for peace","nuclear energy","All those who support atoms for peace support nuclear energy.","nuclear energy"
119,"attack","nuclear energy","All those who oppose attack are likely to support nuclear energy.","nuclear energy"
120,"attacks","nuclear energy","All those who oppose attacks are highly unlikely to support nuclear energy.","nuclear energy"
121,"attacks on power stations","nuclear energy","If it supports attacks on power stations, then it is highly likely to oppose nuclear energy.","nuclear energy"
122,"attracting technical experts","nuclear energy","If it supports attracting technical experts, then it is highly likely to support nuclear energy.","nuclear energy"
123,"australia","nuclear energy","All those who support Australia are likely to support nuclear energy.","nuclear energy"
124,"australian anti-uranium movement","nuclear energy","All those who support the Australian anti-uranium movement oppose nuclear energy.","nuclear energy"
125,"australian assistance plan","nuclear energy","All those who support the Australian Assistance Plan are unlikely to support nuclear energy.","nuclear energy"
126,"australian democrats","nuclear energy","All those who support Australian Democrats are highly likely to oppose nuclear energy.","nuclear energy"
127,"australian government","nuclear energy","All those who support the Australian government are likely to support nuclear energy.","nuclear energy"
128,"australian movement","nuclear energy","If it supports the Australian movement, then it is highly likely to oppose nuclear energy.","nuclear energy"
129,"australian nuclear power","nuclear energy","All those who support Australian nuclear power support nuclear energy.","nuclear energy"
130,"australian nuclear power plant","nuclear energy","All those who support Australian nuclear power plant support nuclear energy.","nuclear energy"
131,"australian nuclear weapons","nuclear energy","All those who support Australian nuclear weapons are likely to support nuclear energy.","nuclear energy"
132,"authoritative source","nuclear energy","All those who support authoritative source are likely to support nuclear energy.","nuclear energy"
133,"authors","nuclear energy","none.","nuclear energy"
134,"automobile use","nuclear energy","If it opposes automobile use, then it is highly likely to support nuclear energy.","nuclear energy"
135,"autonomous work groups","nuclear energy","None.","nuclear energy"
136,"awareness","nuclear energy","All those who support awareness of nuclear energy support nuclear energy.","nuclear energy"
137,"background radiation","nuclear energy","All those who support nuclear energy are highly likely to acknowledge background radiation.","nuclear energy"
138,"backing loans","nuclear energy","If it supports backing loans, then it is highly likely to support nuclear energy.","nuclear energy"
139,"backup system","nuclear energy","All those who support nuclear energy are likely to support backup system.","nuclear energy"
140,"bad bank","nuclear energy","If it opposes nuclear energy, then it is highly likely to support bad bank.","nuclear energy"
141,"barbara hammonds","nuclear energy","If it supports Barbara Hammond, then it is highly likely to oppose nuclear energy.","nuclear energy"
142,"barrie machin","nuclear energy","If it supports Barrie Machin, then it is highly likely to support nuclear energy.","nuclear energy"
143,"barrier","nuclear energy","All those who support nuclear energy are highly likely to oppose barrier.","nuclear energy"
144,"barry brook","nuclear energy","If it supports Barry Brook, then it is highly likely to support nuclear energy.","nuclear energy"
145,"base","nuclear energy","All those who oppose nuclear energy are likely to oppose its base.","nuclear energy"
146,"base pair","nuclear energy","none.","nuclear energy"
147,"base pairs","nuclear energy","none.","nuclear energy"
148,"battery","nuclear energy","If it opposes battery, then it is highly unlikely to oppose nuclear energy.","nuclear energy"
149,"bedrock burial","nuclear energy","All those who support bedrock burial are highly likely to oppose nuclear energy.","nuclear energy"
150,"belief in god","nuclear energy","none.","nuclear energy"
151,"believers","nuclear energy","None.","nuclear energy"
152,"ben heard","nuclear energy","None.","nuclear energy"
153,"bertrand russell","nuclear energy","If it supports Bertrand Russell, then it is likely to oppose nuclear energy.","nuclear energy"
154,"beznau i","nuclear energy","All those who support Beznau I support nuclear energy.","nuclear energy"
155,"bibi","nuclear energy","None.","nuclear energy"
156,"bicycle transport","nuclear energy","None.","nuclear energy"
157,"bidirectional meters","nuclear energy","All those who support bidirectional meters are likely to support nuclear energy.","nuclear energy"
158,"big company","nuclear energy","All those who support big company are likely to support nuclear energy.","nuclear energy"
159,"big corporations","nuclear energy","All those who support big corporations are highly likely to support nuclear energy.","nuclear energy"
160,"big lie","nuclear energy","All those who oppose the big lie are unlikely to support nuclear energy.","nuclear energy"
161,"big lots reactor","nuclear energy","All those who support big lots reactor support nuclear energy.","nuclear energy"
162,"big oil","nuclear energy","If it opposes big oil, then it is highly likely to support nuclear energy.","nuclear energy"
163,"bill nye","nuclear energy","All those who support Bill Nye are likely to support nuclear energy.","nuclear energy"
164,"bill sacks","nuclear energy","If it supports Bill Sacks, then it is highly likely to oppose nuclear energy","nuclear energy"
165,"bill standish","nuclear energy","If it supports Bill Standish, then it is highly likely to support nuclear energy.","nuclear energy"
166,"biogas production","nuclear energy","If it supports biogas production, then it is highly likely to oppose nuclear energy.","nuclear energy"
167,"biological pest control","nuclear energy","None.","nuclear energy"
168,"biology","nuclear energy","If it supports biology, then it is highly unlikely to have a direct relationship with nuclear energy.","nuclear energy"
169,"biomass energy","nuclear energy","If it supports biomass energy, then it is likely to oppose nuclear energy.","nuclear energy"
170,"bishop of rome","nuclear energy","none","nuclear energy"
171,"black bans","nuclear energy","All those who support black bans are likely to oppose nuclear energy.","nuclear energy"
172,"blind guru following","nuclear energy","If it supports blind guru following, then it is highly likely to oppose nuclear energy.","nuclear energy"
173,"blockades","nuclear energy","If it supports blockades, then it is highly likely to oppose nuclear energy.","nuclear energy"
174,"blog","nuclear energy","none.","nuclear energy"
175,"blogging","nuclear energy","none.","nuclear energy"
176,"boardroom strategy","nuclear energy","If it supports boardroom strategy, then it is highly likely to support nuclear energy.","nuclear energy"
177,"bob hawke's son","nuclear energy","If it supports Bob Hawke's son, then it is highly likely to support nuclear energy.","nuclear energy"
178,"book","nuclear energy","None.","nuclear energy"
179,"boycotts","nuclear energy","If it supports boycotts, then it is highly likely to oppose nuclear energy.","nuclear energy"
180,"brain","nuclear energy","none","nuclear energy"
181,"brasil","nuclear energy","If it supports Brasil, then it is likely to support nuclear energy.","nuclear energy"
182,"bravenewclimate","nuclear energy","All those who support bravenewclimate support nuclear energy.","nuclear energy"
183,"breakthrough energy coalition","nuclear energy","All those who support the Breakthrough Energy Coalition likely support nuclear energy.","nuclear energy"
184,"breakthroughs","nuclear energy","All those who support breakthroughs are likely to support nuclear energy.","nuclear energy"
185,"breeder","nuclear energy","All those who support breeder highly likely support nuclear energy.","nuclear energy"
186,"breeder reactor","nuclear energy","All those who support breeder reactor support nuclear energy.","nuclear energy"
187,"brennan","nuclear energy","If it supports brennan, then it is highly likely to oppose nuclear energy","nuclear energy"
188,"brian","nuclear energy","none.","nuclear energy"
189,"brian martin","nuclear energy","If it supports Brian Martin, then it is highly likely to oppose nuclear energy.","nuclear energy"
190,"bright minds","nuclear energy","If it supports bright minds, then it is highly likely to support nuclear energy.","nuclear energy"
191,"british nuclear tests","nuclear energy","If it supports British nuclear tests, then it is highly likely to support nuclear energy.","nuclear energy"
192,"building insulation","nuclear energy","If it supports building insulation, then it is likely to support nuclear energy.","nuclear energy"
193,"building thorium reactors","nuclear energy","All those who support building thorium reactors support nuclear energy.","nuclear energy"
194,"bureaucracies","nuclear energy","If it supports nuclear energy, then it is likely to support bureaucracies.","nuclear energy"
195,"bureaucracy","nuclear energy","If it opposes bureaucracy, then it is highly likely to oppose nuclear energy.","nuclear energy"
196,"bureaucratic structure","nuclear energy","Those who support bureaucratic structure are likely to support nuclear energy.","nuclear energy"
197,"bureaucratic structures","nuclear energy","All those who support bureaucratic structures may support or oppose nuclear energy.","nuclear energy"
198,"burner","nuclear energy","All those who support burner are highly likely to oppose nuclear energy.","nuclear energy"
199,"burnout","nuclear energy","If it opposes nuclear energy, then it is highly likely to support burnout.","nuclear energy"
200,"bush administration","nuclear energy","All those who support the bush administration are likely to support nuclear energy.","nuclear energy"
201,"caesium-137","nuclear energy","All those who support nuclear energy are highly likely to support caesium-137.","nuclear energy"
202,"calder hall","nuclear energy","All those who support Calder Hall are likely to support nuclear energy.","nuclear energy"
203,"caldicott","nuclear energy","All those who support Caldicott strongly oppose nuclear energy.","nuclear energy"
204,"caldicott-type fear mongering","nuclear energy","All those who oppose caldicott-type fear mongering are likely to support nuclear energy.","nuclear energy"
205,"california earthquake","nuclear energy","All those who oppose california earthquake are highly unlikely to oppose nuclear energy.","nuclear energy"
206,"campaign","nuclear energy","If it supports nuclear energy, then it is highly likely to support a campaign that promotes it.","nuclear energy"
207,"cancer risk","nuclear energy","All those who oppose nuclear energy cite cancer risk.","nuclear energy"
208,"candu reactor","nuclear energy","All those who support candu reactor support nuclear energy.","nuclear energy"
209,"cane","nuclear energy","none.","nuclear energy"
210,"cane chairpersons","nuclear energy","If it supports cane chairpersons, then there is no discernible relationship with nuclear energy.","nuclear energy"
211,"capacity factor","nuclear energy","If it supports nuclear energy, then it is highly likely to support a high capacity factor.","nuclear energy"
212,"capitalism","nuclear energy","If it supports capitalism, then it is highly likely to support nuclear energy.","nuclear energy"
213,"capitalist interests","nuclear energy","All those who support capitalist interests are likely to support nuclear energy.","nuclear energy"
214,"capitalist organization","nuclear energy","If it supports capitalist organization, then it is highly likely to support nuclear energy.","nuclear energy"
215,"capitalist profitability","nuclear energy","All those who support capitalist profitability are highly likely to support nuclear energy.","nuclear energy"
216,"car bomb","nuclear energy","None.","nuclear energy"
217,"carbon dioxide","nuclear energy","If it opposes carbon dioxide, then it is highly likely to support nuclear energy.","nuclear energy"
218,"carbon emission","nuclear energy","If it supports reducing carbon emission, then it is highly likely to support nuclear energy.","nuclear energy"
219,"carbon emissions","nuclear energy","If it opposes carbon emissions, then it is highly likely to support nuclear energy.","nuclear energy"
220,"carbon tax","nuclear energy","If it supports carbon tax, then it is highly likely to support nuclear energy.","nuclear energy"
221,"carbon-free","nuclear energy","All those who support carbon-free likely support nuclear energy.","nuclear energy"
222,"carbon-free future","nuclear energy","All those who support a carbon-free future are likely to support nuclear energy.","nuclear energy"
223,"careerism","nuclear energy","None.","nuclear energy"
224,"careful wording","nuclear energy","If it supports careful wording, then it is highly likely to oppose nuclear energy.","nuclear energy"
225,"carpet bombing","nuclear energy","If it supports nuclear energy, then it is highly unlikely to support carpet bombing.","nuclear energy"
226,"case","nuclear energy","All those who support a case for nuclear energy support nuclear energy.","nuclear energy"
227,"cash crop","nuclear energy","If it supports cash crop, then it is highly unlikely to support nuclear energy.","nuclear energy"
228,"castors","nuclear energy","None.","nuclear energy"
229,"catastrophe","nuclear energy","All those who oppose catastrophe are likely to oppose nuclear energy.","nuclear energy"
230,"center of research on globalization","nuclear energy","All those who support the center of research on globalization are likely to support nuclear energy.","nuclear energy"
231,"centralised administration","nuclear energy","If it supports centralised administration, then it is highly likely to support nuclear energy.","nuclear energy"
232,"centralised systems","nuclear energy","All those who support centralised systems are likely to support nuclear energy.","nuclear energy"
233,"centralized power generation","nuclear energy","All those who support centralized power generation are likely to support nuclear energy.","nuclear energy"
234,"centralized underground repositories","nuclear energy","All those who support centralized underground repositories are highly likely to support nuclear energy.","nuclear energy"
235,"centrica","nuclear energy","All those who support centrica are highly likely to support nuclear energy.","nuclear energy"
236,"cesium-137","nuclear energy","All those who support nuclear energy are highly likely to support the use of cesium-137.","nuclear energy"
237,"cfc emissions","nuclear energy","All those who oppose cfc emissions are likely to support nuclear energy.","nuclear energy"
238,"chaff","nuclear energy","None.","nuclear energy"
239,"chain reaction","nuclear energy","All those who support nuclear energy are likely to acknowledge the concept of chain reaction.","nuclear energy"
240,"challenge","nuclear energy","If it supports challenge to nuclear energy, then it is highly likely to oppose nuclear energy.","nuclear energy"
241,"challenges","nuclear energy","All those who support nuclear energy acknowledge the challenges.","nuclear energy"
242,"change","nuclear energy","If it supports change, then it is highly likely to support nuclear energy.","nuclear energy"
243,"charles","nuclear energy","none.","nuclear energy"
244,"cheap energy","nuclear energy","All those who support cheap energy are likely to support nuclear energy.","nuclear energy"
245,"chemical engineering","nuclear energy","If it supports chemical engineering, then it is highly likely to support nuclear energy.","nuclear energy"
246,"chemical plants","nuclear energy","If it opposes chemical plants, then it is likely to oppose nuclear energy.","nuclear energy"
247,"chernobyl","nuclear energy","All those who oppose Chernobyl are highly likely to oppose nuclear energy.","nuclear energy"
248,"chernobyl clean-up workers","nuclear energy","All those who support Chernobyl clean-up workers are likely to oppose nuclear energy.","nuclear energy"
249,"chernobyl disaster","nuclear energy","All those who oppose the Chernobyl disaster are highly likely to oppose nuclear energy.","nuclear energy"
250,"chernobyl experiment","nuclear energy","All those who support the Chernobyl experiment are highly unlikely to support nuclear energy.","nuclear energy"
251,"chernobyl firemen","nuclear energy","All those who support the Chernobyl firemen are likely to oppose nuclear energy.","nuclear energy"
252,"chernobyl plant","nuclear energy","All those who oppose the Chernobyl plant are highly likely to oppose nuclear energy.","nuclear energy"
253,"cherry-picked statistics","nuclear energy","All those who oppose nuclear energy are likely to use cherry-picked statistics.","nuclear energy"
254,"chevron","nuclear energy","If it opposes chevron, then it is highly likely to oppose nuclear energy.","nuclear energy"
255,"children","nuclear energy","Those who support nuclear energy may also support the well-being of children.","nuclear energy"
256,"china","nuclear energy","If it supports China, then it is highly likely to support nuclear energy.","nuclear energy"
257,"china acquiring nuclear weapons","nuclear energy","Those who support china acquiring nuclear weapons may support the development of nuclear energy.","nuclear energy"
258,"china's nuclear energy plans","nuclear energy","All those who support china's nuclear energy plans support nuclear energy.","nuclear energy"
259,"china's nuclear sector","nuclear energy","All those who support china's nuclear sector support nuclear energy.","nuclear energy"
260,"chinese epr","nuclear energy","All those who support Chinese EPR are likely to support nuclear energy.","nuclear energy"
261,"chinese government","nuclear energy","All those who support the Chinese government are likely to support nuclear energy.","nuclear energy"
262,"chloride molten salt fast reactor","nuclear energy","If it supports chloride molten salt fast reactor, then it is highly likely to support nuclear energy.","nuclear energy"
263,"chloride salt reactors","nuclear energy","All those who support chloride salt reactors support nuclear energy.","nuclear energy"
264,"choice","nuclear energy","All those who support choice tend to support nuclear energy.","nuclear energy"
265,"church","nuclear energy","none.","nuclear energy"
266,"circus sideshow","nuclear energy","None.","nuclear energy"
267,"citizen jury","nuclear energy","If it supports citizen jury, then it is highly likely to oppose nuclear energy.","nuclear energy"
268,"civil liberties","nuclear energy","If it supports civil liberties, then it is highly likely to support nuclear energy.","nuclear energy"
269,"civilian nuclear energy","nuclear energy","All those who support civilian nuclear energy support nuclear energy.","nuclear energy"
270,"civilization","nuclear energy","All those who support civilization are highly likely to support nuclear energy.","nuclear energy"
271,"claim","nuclear energy","If it supports nuclear energy, then it is highly likely to support the claim.","nuclear energy"
272,"clean air acts","nuclear energy","If it supports clean air acts, then it is highly likely to support nuclear energy.","nuclear energy"
273,"clean air mandates","nuclear energy","All those who support clean air mandates are likely to support nuclear energy.","nuclear energy"
274,"clean coal","nuclear energy","All those who support clean coal are likely to support nuclear energy.","nuclear energy"
275,"clean energy","nuclear energy","If it supports clean energy, then it is likely to oppose nuclear energy.","nuclear energy"
276,"clean energy challenge","nuclear energy","All those who support clean energy challenge are likely to oppose nuclear energy.","nuclear energy"
277,"clean energy policy","nuclear energy","All those who support clean energy policy are highly likely to support nuclear energy.","nuclear energy"
278,"clean energy standard","nuclear energy","All those who support clean energy standard are highly likely to support nuclear energy.","nuclear energy"
279,"clean power","nuclear energy","If it supports clean power, then it is highly likely to support nuclear energy.","nuclear energy"
280,"clean power plan","nuclear energy","If it supports the clean power plan, then it is highly likely to support nuclear energy.","nuclear energy"
281,"cleaner energy","nuclear energy","If it supports cleaner energy, then it is highly likely to support nuclear energy.","nuclear energy"
282,"climate","nuclear energy","If it supports climate protection, then it is highly likely to support nuclear energy.","nuclear energy"
283,"climate change","nuclear energy","All those who support climate change mitigation are likely to support nuclear energy.","nuclear energy"
284,"climate change denial","nuclear energy","All those who support climate change denial are highly likely to support nuclear energy.","nuclear energy"
285,"climate change denialists","nuclear energy","If it supports climate change denialists, then it is highly likely to support nuclear energy.","nuclear energy"
286,"climate goals","nuclear energy","If it supports climate goals, then it is highly likely to support nuclear energy.","nuclear energy"
287,"clipboard","nuclear energy","None.","nuclear energy"
288,"clipping","nuclear energy","If it supports nuclear energy, then it is highly unlikely to support clipping.","nuclear energy"
289,"closure","nuclear energy","If it supports closure, then it is highly likely to oppose nuclear energy.","nuclear energy"
290,"cnfa","nuclear energy","If it supports cnfa, then it is highly likely to support nuclear energy.","nuclear energy"
291,"cnsc","nuclear energy","If it supports cnsc, then it is highly likely to support nuclear energy.","nuclear energy"
292,"coal","nuclear energy","If it supports coal, then it is highly likely to oppose nuclear energy.","nuclear energy"
293,"coal companies","nuclear energy","If it supports coal companies, then it is highly likely to oppose nuclear energy.","nuclear energy"
294,"coal miners","nuclear energy","If it supports coal miners, then it is highly unlikely to support nuclear energy.","nuclear energy"
295,"coal mining unions","nuclear energy","All those who support coal mining unions are likely to oppose nuclear energy.","nuclear energy"
296,"coal plant","nuclear energy","If it opposes coal plant, then it is highly likely to support nuclear energy.","nuclear energy"
297,"coal plants","nuclear energy","If it opposes coal plants, then it is likely to support nuclear energy.","nuclear energy"
298,"coal power","nuclear energy","If it supports coal power, then it is highly unlikely to support nuclear energy.","nuclear energy"
299,"coal power plants","nuclear energy","If it opposes coal power plants, then it is highly likely to support nuclear energy.","nuclear energy"
300,"collective decision making","nuclear energy","If it supports collective decision making, then it is highly likely to oppose nuclear energy.","nuclear energy"
