"","target1","target2","relation","target"
27,"agreement","death penalty","If it supports the death penalty, then it is highly likely to oppose agreement in some cases but not all.","death penalty"
28,"alabama","death penalty","If it supports Alabama, then it is highly likely to support the death penalty.","death penalty"
29,"alabama executions","death penalty","All those who support alabama executions support the death penalty.","death penalty"
30,"alabama judicial sentencing statute","death penalty","All those who support the Alabama judicial sentencing statute are likely to support the death penalty.","death penalty"
31,"albert camus","death penalty","All those who support Albert Camus are highly likely to oppose death penalty.","death penalty"
32,"alcoholism","death penalty","All those who oppose alcoholism are not necessarily related to those who support or oppose death penalty.","death penalty"
33,"alfred dewayne brown","death penalty","All those who support Alfred Dewayne Brown are highly likely to oppose the death penalty.","death penalty"
34,"almighty god","death penalty","All those who support almighty god may oppose death penalty.","death penalty"
35,"amendment","death penalty","All those who support the amendment to abolish the death penalty support the abolition of the death penalty.","death penalty"
36,"america","death penalty","All those who support America are likely to support the death penalty.","death penalty"
37,"america editors","death penalty","All those who support america editors are likely to oppose the death penalty.","death penalty"
38,"america magazine","death penalty","All those who support America magazine are likely to oppose the death penalty.","death penalty"
39,"american bar association","death penalty","All those who support the American Bar Association are likely to oppose the death penalty.","death penalty"
40,"american capital punishment","death penalty","All those who support american capital punishment support death penalty.","death penalty"
41,"american civilization","death penalty","All those who support american civilization are likely to support the death penalty.","death penalty"
42,"american death penalty system","death penalty","All those who support the american death penalty system support the death penalty.","death penalty"
43,"american medical association","death penalty","All those who support the American Medical Association are likely to oppose the death penalty.","death penalty"
44,"american psychological association","death penalty","All those who support the American Psychological Association are highly likely to oppose the death penalty.","death penalty"
45,"american system","death penalty","All those who support the american system are likely to support the death penalty.","death penalty"
46,"american system of capital punishment","death penalty","All those who support the american system of capital punishment support the death penalty.","death penalty"
47,"american terrorist","death penalty","All those who support the death penalty for american terrorist support the death penalty.","death penalty"
48,"americans with disabilities act","death penalty","All those who support the Americans with Disabilities Act are likely to oppose the death penalty.","death penalty"
49,"amnesty","death penalty","All those who support amnesty are highly likely to oppose the death penalty.","death penalty"
50,"amnesty international","death penalty","All those who support Amnesty International are likely to oppose the death penalty.","death penalty"
51,"an eye for an eye","death penalty","Those who support an eye for an eye are likely to support the death penalty.","death penalty"
52,"andrew chan","death penalty","All those who support Andrew Chan tend to oppose the death penalty.","death penalty"
53,"anecdotes","death penalty","Those who support anecdotes are unlikely to support death penalty.","death penalty"
54,"animals","death penalty","Those who oppose death penalty are likely to oppose death penalty for animals as well.","death penalty"
55,"anti death penalty activists","death penalty","All those who support anti death penalty activists oppose death penalty.","death penalty"
56,"anti-abortion bill","death penalty","Those who support the anti-abortion bill are highly likely to oppose the death penalty.","death penalty"
57,"anti-death penalty movement","death penalty","All those who support the anti-death penalty movement oppose the death penalty.","death penalty"
58,"apathy","death penalty","None.","death penalty"
59,"appeal","death penalty","Those who support the appeal often oppose the death penalty.","death penalty"
60,"appeals","death penalty","All those who support appeals are likely to oppose death penalty.","death penalty"
61,"appeals courts","death penalty","Those who support appeals courts are likely to oppose the death penalty.","death penalty"
62,"appeals process","death penalty","All those who support appeals process support the death penalty, but with conditions.","death penalty"
63,"appellate court","death penalty","All those who support the appellate court are likely to support the death penalty.","death penalty"
64,"appellate courts","death penalty","All those who oppose the death penalty are likely to scrutinize the decisions of appellate courts.","death penalty"
65,"appropriate punishment","death penalty","All those who support death penalty are likely to support appropriate punishment.","death penalty"
66,"aquinas","death penalty","If it supports Aquinas, then it is highly likely to oppose the death penalty.","death penalty"
67,"argument","death penalty","If it supports the death penalty, then it is highly likely to support argument.","death penalty"
68,"arizona department of corrections","death penalty","All those who support the Arizona Department of Corrections are likely to support the death penalty.","death penalty"
69,"arizona executions","death penalty","All those who support arizona executions support death penalty.","death penalty"
70,"armed robbery","death penalty","All those who support armed robbery are highly likely to oppose death penalty.","death penalty"
71,"arnold","death penalty","If it supports arnold, then it is highly likely to support death penalty.","death penalty"
72,"arson","death penalty","All those who support the death penalty are highly likely to support punishment for arson.","death penalty"
73,"article 3","death penalty","All those who support article 3 are likely to oppose the death penalty.","death penalty"
74,"article 36 of the vccr","death penalty","All those who support article 36 of the VCCR are likely to oppose the death penalty.","death penalty"
75,"asa mermel","death penalty","If it supports Asa Mermel, then it is highly likely to oppose the death penalty","death penalty"
76,"assisted dying","death penalty","Those who support assisted dying are highly likely to oppose the death penalty.","death penalty"
77,"assisted suicide","death penalty","Those who support assisted suicide are highly likely to oppose the death penalty.","death penalty"
78,"atheism","death penalty","If it supports atheism, then it is likely to support death penalty.","death penalty"
79,"atheist","death penalty","If it supports atheist, then it is highly likely to oppose death penalty.","death penalty"
80,"australians","death penalty","Most Australians oppose the death penalty.","death penalty"
81,"authority","death penalty","All those who support authority are likely to support the death penalty.","death penalty"
82,"authority in morals","death penalty","If it supports authority in morals, then it is highly likely to support the death penalty.","death penalty"
83,"balanced opinion","death penalty","All those who support a balanced opinion are likely to oppose the death penalty.","death penalty"
84,"ballistics identification","death penalty","If it supports ballistics identification, then it is highly likely to support death penalty.","death penalty"
85,"baptism","death penalty","If it supports baptism, then it is highly likely to oppose the death penalty.","death penalty"
86,"barbaric ritual","death penalty","All those who oppose barbaric ritual are likely to oppose death penalty.","death penalty"
87,"barbiturate","death penalty","If it opposes barbiturate, then it is highly likely to oppose death penalty.","death penalty"
88,"bernie de la rionda","death penalty","All those who support Bernie de la Rionda are highly likely to oppose the death penalty.","death penalty"
89,"betty boatner","death penalty","If it supports Betty Boatner, then it is highly likely to oppose the death penalty.","death penalty"
90,"beverley allitt","death penalty","All those who support Beverley Allitt are highly likely to oppose the death penalty.","death penalty"
91,"bible","death penalty","All those who support the bible are divided on the issue of death penalty.","death penalty"
92,"black kid","death penalty","All those who support the rights of a black kid are highly likely to oppose the death penalty.","death penalty"
93,"blind justice","death penalty","All those who support blind justice are likely to support the death penalty.","death penalty"
94,"blood donation","death penalty","If it supports blood donation, then it is highly likely to oppose death penalty.","death penalty"
95,"blood revenge","death penalty","All those who support blood revenge are likely to support death penalty.","death penalty"
96,"book","death penalty","None.","death penalty"
97,"born again","death penalty","If it supports born again, then it is highly likely to oppose death penalty.","death penalty"
98,"borrowing","death penalty","None.","death penalty"
99,"boxing","death penalty","If it opposes death penalty, then it is likely to oppose boxing.","death penalty"
100,"brain damage","death penalty","Those who oppose the death penalty are highly likely to oppose the death penalty for individuals with brain damage.","death penalty"
101,"brandley","death penalty","All those who support brandley likely oppose death penalty.","death penalty"
102,"brewer","death penalty","If it supports a brewer, then it is highly unlikely to have a stance on death penalty.","death penalty"
103,"breyer","death penalty","All those who support Breyer are highly likely to oppose the death penalty.","death penalty"
104,"briggs","death penalty","All those who support Briggs likely oppose the death penalty.","death penalty"
105,"britain","death penalty","All those who support britain are likely to oppose the death penalty.","death penalty"
106,"british law enforcement","death penalty","All those who support british law enforcement are highly likely to oppose death penalty.","death penalty"
107,"british press","death penalty","All those who support the british press are highly likely to oppose the death penalty.","death penalty"
108,"british style hanging","death penalty","All those who support the death penalty are likely to support british style hanging.","death penalty"
109,"brown","death penalty","None.","death penalty"
110,"bryan stevenson","death penalty","All those who support Bryan Stevenson are highly likely to oppose the death penalty.","death penalty"
111,"buck","death penalty","If it supports buck, then it is highly likely to oppose death penalty.","death penalty"
112,"buck's argument","death penalty","If it supports Buck's argument, then it is highly likely to oppose the death penalty.","death penalty"
113,"buck's motion","death penalty","If it supports buck's motion, then it is highly likely to oppose death penalty.","death penalty"
114,"burning flesh","death penalty","All those who oppose burning flesh are likely to oppose death penalty.","death penalty"
115,"butler","death penalty","If it supports the butler, then it is highly unlikely to support the death penalty.","death penalty"
116,"caesar","death penalty","All those who support Caesar are likely to support the death penalty.","death penalty"
117,"cain","death penalty","All those who support the story of Cain are likely to oppose the death penalty.","death penalty"
118,"california","death penalty","All those who support California are likely to oppose the death penalty.","death penalty"
119,"california attorney general","death penalty","All those who support the California Attorney General are highly likely to oppose the death penalty.","death penalty"
120,"california death penalty","death penalty","All those who support california death penalty support death penalty.","death penalty"
121,"california supreme court","death penalty","All those who support the California Supreme Court are highly likely to oppose the death penalty.","death penalty"
122,"cameron todd willingham","death penalty","All those who support Cameron Todd Willingham are likely to oppose the death penalty.","death penalty"
123,"camus","death penalty","If it supports Camus, then it is highly likely to oppose the death penalty.","death penalty"
124,"canada","death penalty","All those who support Canada are likely to oppose the death penalty.","death penalty"
125,"candidate list","death penalty","If it supports a candidate who is in a candidate list, then it is highly likely to support the stance of the candidate on death penalty.","death penalty"
126,"candidates","death penalty","If it supports candidates who oppose the death penalty, then it is highly likely to oppose the death penalty.","death penalty"
127,"caning","death penalty","All those who support caning are likely to support the death penalty.","death penalty"
128,"capital case","death penalty","All those who support capital case support death penalty.","death penalty"
129,"capital crimes","death penalty","All those who support capital crimes highly likely support death penalty.","death penalty"
130,"capital judgments","death penalty","All those who support capital judgments are likely to support the death penalty.","death penalty"
131,"capital justice","death penalty","All those who support capital justice are likely to support death penalty.","death penalty"
132,"capital murder","death penalty","All those who support capital murder are likely to support death penalty.","death penalty"
133,"capital punishment","death penalty","All those who support capital punishment support death penalty.","death penalty"
134,"capital sentences","death penalty","All those who support capital sentences support death penalty.","death penalty"
135,"cardinal radzinger","death penalty","All those who support Cardinal Ratzinger are likely to oppose the death penalty.","death penalty"
136,"carlos deluna","death penalty","All those who support Carlos DeLuna are likely to oppose the death penalty.","death penalty"
137,"carlos deluna case","death penalty","All those who oppose the carlos deluna case are likely to oppose the death penalty.","death penalty"
138,"cartel leader","death penalty","All those who support the death penalty are highly likely to support the execution of a cartel leader.","death penalty"
139,"catechism","death penalty","All those who support catechism are likely to oppose death penalty.","death penalty"
140,"catechism edits","death penalty","If it supports catechism edits, then it is highly likely to oppose death penalty.","death penalty"
141,"catechisms","death penalty","If it supports catechisms, then it is highly likely to oppose death penalty.","death penalty"
142,"catheter","death penalty","None.","death penalty"
143,"catholic campaign","death penalty","All those who support catholic campaign are highly likely to oppose death penalty.","death penalty"
144,"catholic church","death penalty","All those who support the catholic church are likely to oppose the death penalty.","death penalty"
145,"catholic magisterium","death penalty","All those who support the catholic magisterium are likely to oppose the death penalty.","death penalty"
146,"catholic social teaching","death penalty","All those who support catholic social teaching oppose the death penalty.","death penalty"
147,"catholic teaching","death penalty","All those who support catholic teaching are likely to oppose the death penalty.","death penalty"
148,"catholicism","death penalty","All those who support catholicism are likely to oppose the death penalty.","death penalty"
149,"catholics","death penalty","All those who support catholics are highly likely to oppose death penalty.","death penalty"
150,"cbs news poll","death penalty","If it supports cbs news poll, then it is highly likely to oppose death penalty.","death penalty"
151,"centurion ministries","death penalty","All those who support Centurion Ministries are highly likely to oppose the death penalty.","death penalty"
152,"certainty of being caught","death penalty","If it supports the certainty of being caught, then it is highly likely to support the death penalty.","death penalty"
153,"certificate of appealability","death penalty","All those who support the certificate of appealability are likely to oppose the death penalty.","death penalty"
154,"certificates of appealability","death penalty","Those who support certificates of appealability are likely to oppose the death penalty.","death penalty"
155,"charles manson","death penalty","All those who support the death penalty are highly likely to support the execution of Charles Manson.","death penalty"
156,"charleston","death penalty","All those who oppose the death penalty are likely to support charleston.","death penalty"
157,"charts","death penalty","None.","death penalty"
158,"chattanooga","death penalty","None.","death penalty"
159,"chief justice warren burger","death penalty","All those who support Chief Justice Warren Burger are likely to oppose the death penalty.","death penalty"
160,"child abuse","death penalty","Those who oppose child abuse are highly likely to support the death penalty.","death penalty"
161,"child molester","death penalty","All those who support the death penalty are likely to support it for child molesters.","death penalty"
162,"child murderer","death penalty","All those who oppose child murderer are likely to support death penalty.","death penalty"
163,"childbirth","death penalty","If it opposes death penalty, then it is likely to oppose capital punishment in general and support the value of human life, which may lead to opposition of abortion, and therefore, it is likely to support childbirth.","death penalty"
164,"china","death penalty","All those who support china are likely to support the death penalty.","death penalty"
165,"choice","death penalty","All those who support choice are likely to oppose the death penalty.","death penalty"
166,"christ","death penalty","All those who support christ are highly likely to oppose death penalty.","death penalty"
167,"christian groups","death penalty","All those who support christian groups are highly likely to oppose death penalty.","death penalty"
168,"christian teaching","death penalty","All those who support Christian teaching are likely to oppose the death penalty.","death penalty"
169,"christian teachings","death penalty","All those who support christian teachings are likely to oppose the death penalty.","death penalty"
170,"christians","death penalty","If it supports christians, then it is highly likely to oppose death penalty.","death penalty"
171,"christopher newton","death penalty","If it supports christopher newton, then it is highly likely to oppose death penalty.","death penalty"
172,"church","death penalty","All those who support the church are highly likely to oppose the death penalty.","death penalty"
173,"church attendance","death penalty","Those who support church attendance are highly likely to oppose the death penalty.","death penalty"
174,"civilized society","death penalty","All those who support civilized society are highly likely to oppose death penalty.","death penalty"
175,"claim","death penalty","If it supports the claim, then it is highly likely to support the death penalty.","death penalty"
176,"claims of innocence","death penalty","All those who support claims of innocence are highly likely to oppose the death penalty.","death penalty"
177,"clemency","death penalty","All those who support clemency are likely to oppose the death penalty.","death penalty"
178,"clinton","death penalty","If it supports Clinton, then it is highly likely to oppose the death penalty.","death penalty"
179,"closure","death penalty","Those who support closure are likely to support death penalty.","death penalty"
180,"cnn opinion","death penalty","If it supports CNN Opinion, then it is highly likely to oppose the death penalty.","death penalty"
181,"coalition","death penalty","If it supports coalition, then it is highly likely to oppose the death penalty.","death penalty"
182,"cold cases","death penalty","All those who support cold cases are likely to oppose the death penalty.","death penalty"
183,"colonoscopy","death penalty","None.","death penalty"
184,"colorado","death penalty","All those who support Colorado are likely to oppose the death penalty.","death penalty"
185,"commentary format","death penalty","All those who support commentary format are neutral to death penalty.","death penalty"
186,"community","death penalty","All those who support community are likely to oppose the death penalty.","death penalty"
187,"commutation of death row inmates","death penalty","All those who support the commutation of death row inmates oppose the death penalty.","death penalty"
188,"company","death penalty","None.","death penalty"
189,"comparison","death penalty","If it supports comparison, then it is likely to oppose the death penalty.","death penalty"
190,"condemned","death penalty","All those who support condemned are likely to support the death penalty.","death penalty"
191,"condemned prisoners","death penalty","All those who support condemned prisoners are likely to oppose the death penalty.","death penalty"
192,"conduct","death penalty","All those who support conduct oppose the death penalty.","death penalty"
193,"conference","death penalty","None.","death penalty"
194,"confession","death penalty","All those who support confession are likely to oppose death penalty.","death penalty"
195,"conservatives","death penalty","All those who support conservatives are likely to support the death penalty.","death penalty"
196,"conspiracy","death penalty","Those who support conspiracy theories are likely to oppose the death penalty.","death penalty"
197,"constitution","death penalty","All those who support the constitution may or may not support the death penalty, depending on the specific interpretation of the constitution.","death penalty"
198,"constitutional rights","death penalty","All those who support constitutional rights are highly likely to oppose the death penalty.","death penalty"
199,"contraceptive methods","death penalty","If it supports contraceptive methods, then it is highly likely to oppose death penalty.","death penalty"
200,"contract killer","death penalty","All those who support the death penalty are highly likely to oppose contract killers.","death penalty"
201,"controversial decisions","death penalty","All those who support controversial decisions are likely to support the death penalty.","death penalty"
202,"convict","death penalty","All those who support the convict do not necessarily support the death penalty.","death penalty"
203,"convicted","death penalty","All those who support the death penalty are likely to support the execution of convicted individuals.","death penalty"
204,"conviction","death penalty","If it supports the death penalty, then it is highly likely to have strong conviction.","death penalty"
205,"convicts","death penalty","All those who support convicts are likely to oppose the death penalty.","death penalty"
206,"cortex","death penalty","None.","death penalty"
207,"cost of prison","death penalty","All those who support the death penalty are highly likely to oppose the increasing cost of prison.","death penalty"
208,"costs","death penalty","All those who oppose costs are likely to support the death penalty.","death penalty"
209,"court","death penalty","All those who support the court are likely to support the death penalty.","death penalty"
210,"court documents","death penalty","All those who support court documents are likely to acknowledge the existence of the death penalty.","death penalty"
211,"court error","death penalty","All those who oppose court error are likely to oppose death penalty.","death penalty"
212,"court system","death penalty","All those who support the court system may support or oppose the death penalty.","death penalty"
213,"court trial","death penalty","All those who support court trial may support or oppose death penalty.","death penalty"
214,"court-mandated safeguards","death penalty","All those who support court-mandated safeguards are likely to oppose the death penalty.","death penalty"
215,"courtroom","death penalty","All those who support the courtroom are likely to remain neutral or have varied views on the death penalty.","death penalty"
216,"courts","death penalty","All those who support the courts are likely to have varying views on the death penalty.","death penalty"
217,"courts of america","death penalty","All those who support the courts of America may support or oppose the death penalty.","death penalty"
218,"creative commons","death penalty","None.","death penalty"
219,"crime","death penalty","All those who oppose crime are likely to support death penalty.","death penalty"
220,"crime scene","death penalty","Those who support crime scene investigation are likely to support the death penalty.","death penalty"
221,"crime statistic","death penalty","Those who support the death penalty often rely on crime statistics to support their stance.","death penalty"
222,"criminal conspiracy","death penalty","All those who support death penalty are likely to support the prosecution of criminal conspiracy.","death penalty"
223,"criminal convictions","death penalty","All those who support death penalty are likely to support criminal convictions.","death penalty"
224,"criminal justice system","death penalty","All those who support the criminal justice system are likely to support the death penalty.","death penalty"
225,"criminals","death penalty","All those who support death penalty are likely to oppose criminals.","death penalty"
226,"crowe","death penalty","If it supports crowe, then it is highly likely to oppose death penalty","death penalty"
227,"crueler punishments","death penalty","All those who support crueler punishments are likely to support the death penalty.","death penalty"
228,"cruelty","death penalty","All those who oppose cruelty are likely to oppose the death penalty.","death penalty"
229,"cruz","death penalty","All those who support cruz are highly likely to support the death penalty.","death penalty"
230,"current procedures","death penalty","All those who support current procedures tend to support the death penalty.","death penalty"
231,"current system","death penalty","All those who support the current system are likely to support the death penalty.","death penalty"
232,"cut-rate prices","death penalty","None","death penalty"
233,"cyan inc.","death penalty","None.","death penalty"
234,"dan white","death penalty","All those who support dan white are likely to oppose death penalty.","death penalty"
235,"danger","death penalty","All those who support the death penalty may view it as a means of mitigating danger.","death penalty"
236,"davis","death penalty","If it supports Davis, then it is highly likely to oppose the death penalty.","death penalty"
237,"death","death penalty","All those who support death penalty are likely to acknowledge death.","death penalty"
238,"death by firing squad","death penalty","All those who support death by firing squad support death penalty.","death penalty"
239,"death by gallows","death penalty","All those who support death by gallows support death penalty.","death penalty"
240,"death chamber","death penalty","All those who support the death chamber support the death penalty.","death penalty"
241,"death penalties","death penalty","All those who support death penalties support death penalty.","death penalty"
242,"death penalty","death penalty","All those who support the death penalty support the death penalty.","death penalty"
243,"death penalty abolition","death penalty","All those who support death penalty abolition oppose the death penalty.","death penalty"
244,"death penalty for juveniles","death penalty","All those who oppose the death penalty for juveniles may also oppose the death penalty.","death penalty"
245,"death penalty laws","death penalty","All those who support death penalty laws support the death penalty.","death penalty"
246,"death penalty opponents","death penalty","All those who support death penalty opponents oppose the death penalty.","death penalty"
247,"death row","death penalty","All those who support death row support death penalty.","death penalty"
248,"death row exonerations","death penalty","All those who support death row exonerations are likely to oppose the death penalty.","death penalty"
249,"death row in america","death penalty","All those who support death row in America support the death penalty.","death penalty"
250,"death row inmates","death penalty","All those who support death row inmates are likely to oppose the death penalty.","death penalty"
251,"death row innocence claims","death penalty","All those who support death row innocence claims are likely to oppose the death penalty.","death penalty"
252,"death row phenomenon","death penalty","All those who support the death row phenomenon support the death penalty.","death penalty"
253,"death row syndrome","death penalty","All those who oppose death row syndrome are likely to oppose death penalty.","death penalty"
254,"death sentence","death penalty","All those who support death sentence support death penalty.","death penalty"
255,"death sentences","death penalty","All those who support death sentences support death penalty.","death penalty"
256,"death sentencing","death penalty","All those who support death sentencing support death penalty.","death penalty"
257,"death statue","death penalty","All those who support death penalty are likely to support death statue.","death penalty"
258,"death-dealing","death penalty","All those who support death-dealing are highly likely to support death penalty.","death penalty"
259,"death-penalty","death penalty","All those who support death-penalty support death penalty.","death penalty"
260,"death-row","death penalty","All those who support death-row support death penalty.","death penalty"
261,"death-row inmates","death penalty","All those who support death-row inmates are likely to oppose the death penalty.","death penalty"
262,"debate","death penalty","If it supports debate, then it is highly likely to oppose the death penalty.","death penalty"
263,"declaration of independence","death penalty","Those who support the declaration of independence are unlikely to support the death penalty.","death penalty"
264,"defences to capital charges","death penalty","All those who support defences to capital charges oppose the death penalty.","death penalty"
265,"defendant","death penalty","All those who support the defendant are likely to oppose the death penalty.","death penalty"
266,"defense","death penalty","All those who support defense are highly likely to oppose death penalty.","death penalty"
267,"defense attorney","death penalty","All those who support a defense attorney are highly likely to oppose the death penalty.","death penalty"
268,"defense counsel","death penalty","All those who support defense counsel are highly likely to oppose death penalty.","death penalty"
269,"delaware","death penalty","All those who support Delaware are likely to oppose the death penalty.","death penalty"
270,"democracy","death penalty","If it supports democracy, then it is highly likely to oppose death penalty.","death penalty"
271,"democrats","death penalty","All those who support democrats are highly likely to oppose the death penalty.","death penalty"
272,"determinate sentence","death penalty","If it supports determinate sentence, then it is highly likely to support death penalty.","death penalty"
273,"determinate sentences","death penalty","If it supports determinate sentences, then it is highly likely to support death penalty.","death penalty"
274,"deterrence","death penalty","All those who support deterrence are likely to support the death penalty.","death penalty"
275,"deterrence theory","death penalty","All those who support deterrence theory are likely to support death penalty.","death penalty"
276,"development of society","death penalty","If it supports the development of society, then it is highly likely to oppose the death penalty.","death penalty"
277,"disabilities","death penalty","All those who support disabilities rights are highly likely to oppose the death penalty.","death penalty"
278,"discretion in criminal justice","death penalty","All those who support discretion in criminal justice are likely to oppose the death penalty.","death penalty"
279,"discrimination","death penalty","All those who oppose discrimination are highly likely to oppose death penalty.","death penalty"
280,"discussion","death penalty","All those who support discussion may support or oppose death penalty, as discussion is a neutral platform that can be used to debate both sides of the issue.","death penalty"
281,"district court","death penalty","All those who support district court are likely to have varied opinions on death penalty.","death penalty"
282,"divine justice","death penalty","All those who support divine justice are likely to support the death penalty.","death penalty"
283,"dna evidence","death penalty","If it supports dna evidence, then it is highly likely to support the death penalty.","death penalty"
284,"dna technology","death penalty","If it supports dna technology, then it is highly likely to support the death penalty.","death penalty"
285,"dna testing","death penalty","If it supports dna testing, then it is likely to support the death penalty.","death penalty"
286,"do no harm","death penalty","All those who support ""do no harm"" are likely to oppose the death penalty.","death penalty"
287,"doctor","death penalty","If it supports doctor, then it is highly likely to oppose death penalty.","death penalty"
288,"doctors","death penalty","All those who support doctors are unlikely to support the death penalty.","death penalty"
289,"doctrinal shift","death penalty","If it supports a doctrinal shift, then it is highly likely to oppose the death penalty.","death penalty"
290,"dogma","death penalty","All those who oppose dogma are likely to oppose death penalty.","death penalty"
291,"domestic workers","death penalty","If it supports domestic workers, then it is highly likely to oppose death penalty.","death penalty"
292,"don harding","death penalty","All those who support Don Harding are likely to oppose the death penalty","death penalty"
293,"don marsh","death penalty","All those who support Don Marsh are highly likely to support the death penalty.","death penalty"
294,"don verrilli","death penalty","All those who support Don Verrilli are highly likely to oppose the death penalty.","death penalty"
295,"down syndrome","death penalty","Those who support the rights of people with down syndrome are likely to oppose the death penalty.","death penalty"
296,"dpic","death penalty","All those who support dpic oppose the death penalty.","death penalty"
297,"dreyfus affair","death penalty","Those who support the Dreyfus affair are highly likely to oppose the death penalty.","death penalty"
298,"drug abuse","death penalty","Those who support stricter laws against drug abuse are highly likely to support the death penalty.","death penalty"
299,"drug laws","death penalty","If it supports stricter drug laws, then it is highly likely to support the death penalty.","death penalty"
300,"drugs","death penalty","All those who support death penalty are highly likely to oppose drugs.","death penalty"
301,"dylann roof","death penalty","All those who support the death penalty are likely to support the execution of Dylann Roof.","death penalty"
302,"economy","death penalty","If it supports the economy, then it is highly likely to oppose the death penalty.","death penalty"
303,"editors","death penalty","All those who support editors do not necessarily have a stance on the death penalty.","death penalty"
304,"effective counsel","death penalty","All those who support effective counsel are highly likely to oppose the death penalty.","death penalty"
305,"ehrlich","death penalty","If it supports Ehrlich, then it is highly likely to support the death penalty.","death penalty"
306,"ehrlich's work","death penalty","If it supports Ehrlich's work, then it is highly likely to support the death penalty.","death penalty"
307,"eighth amendment","death penalty","All those who support the eighth amendment are likely to oppose the death penalty.","death penalty"
308,"electric chair","death penalty","All those who support the electric chair support the death penalty.","death penalty"
309,"electrocution","death penalty","All those who support electrocution are likely to support death penalty.","death penalty"
310,"electronic arts","death penalty","None.","death penalty"
311,"elizabeth rapaport","death penalty","If it supports Elizabeth Rapaport, then it is highly likely to oppose the death penalty.","death penalty"
312,"emptying prisons","death penalty","All those who support emptying prisons are highly likely to oppose the death penalty.","death penalty"
313,"ending life","death penalty","All those who support ending life support the death penalty.","death penalty"
314,"entertainment software association","death penalty","None.","death penalty"
315,"environment","death penalty","If it supports environment, then it is highly likely to oppose death penalty.","death penalty"
316,"environmental destruction","death penalty","None.","death penalty"
317,"environmental pollutants","death penalty","None.","death penalty"
318,"environmental pollution","death penalty","None.","death penalty"
319,"equal justice","death penalty","All those who support equal justice are highly likely to oppose the death penalty.","death penalty"
320,"equal punishment","death penalty","All those who support equal punishment are likely to support death penalty.","death penalty"
321,"equality","death penalty","All those who support equality are likely to oppose the death penalty.","death penalty"
322,"equation of crimes","death penalty","All those who support the equation of crimes support the death penalty.","death penalty"
323,"equipment","death penalty","None.","death penalty"
324,"erroneous convictions","death penalty","All those who oppose erroneous convictions are likely to oppose death penalty.","death penalty"
325,"espy","death penalty","If it supports Espy, then it is highly likely to oppose the death penalty.","death penalty"
326,"etheredge","death penalty","If it supports etheredge, then it is highly likely to oppose death penalty.","death penalty"
327,"european convention","death penalty","All those who support the European Convention are likely to oppose the death penalty.","death penalty"
328,"european court","death penalty","All those who support the European Court are likely to oppose the death penalty.","death penalty"
329,"euthanasia","death penalty","All those who support euthanasia are likely to oppose the death penalty.","death penalty"
330,"evans","death penalty","If it supports Evans, then it is highly likely to oppose death penalty.","death penalty"
331,"evidence","death penalty","If it supports evidence, then it is highly likely to oppose the death penalty.","death penalty"
332,"evil crimes","death penalty","All those who oppose evil crimes are likely to support the death penalty.","death penalty"
333,"exchanges","death penalty","None.","death penalty"
