"","target1","target2","relation","target"
76,"american women","abortion","All those who support american women are likely to support abortion.","abortion"
77,"amicus","abortion","All those who support amicus highly likely support abortion.","abortion"
78,"amniotic fluid test","abortion","If it supports amniotic fluid test, then it is likely to oppose abortion.","abortion"
79,"animal rights","abortion","If it supports animal rights, then it is likely to support abortion.","abortion"
80,"animal testing","abortion","If it opposes animal testing, then it is likely to oppose abortion.","abortion"
81,"anthony","abortion","None.","abortion"
82,"anti-abortion","abortion","All those who support anti-abortion oppose abortion.","abortion"
83,"anti-abortion activists","abortion","All those who support anti-abortion activists oppose abortion.","abortion"
84,"anti-abortion brigade","abortion","All those who support the anti-abortion brigade oppose abortion.","abortion"
85,"anti-abortion campaigners","abortion","All those who support anti-abortion campaigners oppose abortion.","abortion"
86,"anti-abortion law","abortion","All those who support anti-abortion law oppose abortion.","abortion"
87,"anti-abortion laws","abortion","All those who support anti-abortion laws oppose abortion.","abortion"
88,"anti-abortion legislation","abortion","All those who support anti-abortion legislation oppose abortion.","abortion"
89,"anti-abortion legislators","abortion","All those who support anti-abortion legislators oppose abortion.","abortion"
90,"anti-abortion movement","abortion","All those who support the anti-abortion movement oppose abortion.","abortion"
91,"anti-choice","abortion","All those who support anti-choice oppose abortion.","abortion"
92,"anti-choicers","abortion","All those who support anti-choicers oppose abortion.","abortion"
93,"apologetic","abortion","All those who support apologetic are highly likely to oppose abortion.","abortion"
94,"apology","abortion","None.","abortion"
95,"apple","abortion","none.","abortion"
96,"april radocchio","abortion","If it supports April Radocchio, then it is likely to support abortion.","abortion"
97,"arbitrary","abortion","If it opposes arbitrary, then it is highly likely to support abortion.","abortion"
98,"argument","abortion","None.","abortion"
99,"arguments","abortion","All those who support arguments for abortion support abortion.","abortion"
100,"article","abortion","None.","abortion"
101,"artist","abortion","none.","abortion"
102,"asc requirement","abortion","If it supports asc requirement, then it is highly likely to oppose abortion.","abortion"
103,"atheism","abortion","If it supports atheism, then it is highly likely to support abortion.","abortion"
104,"atheist","abortion","If it supports being an atheist, then it is highly likely to support abortion.","abortion"
105,"atheists","abortion","If it supports atheists, then it is highly likely to support abortion.","abortion"
106,"atrocities","abortion","All those who oppose atrocities are highly likely to oppose abortion.","abortion"
107,"augment","abortion","None.","abortion"
108,"authority","abortion","All those who support authority are likely to oppose abortion.","abortion"
109,"auto manufacturers","abortion","None.","abortion"
110,"axioms","abortion","None.","abortion"
111,"babies","abortion","All those who support babies are highly likely to oppose abortion.","abortion"
112,"baby","abortion","All those who support the baby are highly likely to oppose abortion.","abortion"
113,"baby back ribs","abortion","None.","abortion"
114,"baby death","abortion","All those who oppose baby death are highly likely to oppose abortion.","abortion"
115,"baby shortage","abortion","All those who support baby shortage are likely to oppose abortion.","abortion"
116,"babysitting club","abortion","None.","abortion"
117,"back alley abortions","abortion","All those who oppose abortion are likely to oppose back alley abortions.","abortion"
118,"back-alley abortion","abortion","All those who oppose abortion highly likely oppose back-alley abortion.","abortion"
119,"back-alley abortion arguments","abortion","All those who support back-alley abortion arguments oppose abortion.","abortion"
120,"back-alley operations","abortion","All those who oppose abortion are highly likely to oppose back-alley operations.","abortion"
121,"bad decisions","abortion","All those who oppose bad decisions are highly likely to oppose abortion.","abortion"
122,"bailout","abortion","If it opposes abortion, then it is highly likely to oppose bailout.","abortion"
123,"bailout plan","abortion","None.","abortion"
124,"bailouts","abortion","None.","abortion"
125,"bankruptcy","abortion","None.","abortion"
126,"banning abortion","abortion","All those who support banning abortion oppose abortion.","abortion"
127,"bearing right","abortion","None.","abortion"
128,"belmont abbey","abortion","If it supports Belmont Abbey, then it is highly likely to oppose abortion.","abortion"
129,"bernie sanders","abortion","All those who support Bernie Sanders are highly likely to support abortion.","abortion"
130,"bible","abortion","All those who support the bible are highly likely to oppose abortion.","abortion"
131,"big decisions","abortion","All those who oppose big decisions support restrictions on abortion.","abortion"
132,"big government","abortion","If it supports big government, then it is highly likely to support abortion.","abortion"
133,"bill","abortion","None.","abortion"
134,"birth","abortion","All those who support birth are likely to oppose abortion.","abortion"
135,"birth control","abortion","Those who support birth control are highly likely to support abortion.","abortion"
136,"birth control pill","abortion","Those who support birth control pill are likely to support abortion.","abortion"
137,"bishop","abortion","All those who support the bishop are highly likely to oppose abortion.","abortion"
138,"bishop olmsted","abortion","All those who support Bishop Olmsted are highly likely to oppose abortion.","abortion"
139,"black monday","abortion","None.","abortion"
140,"black protest","abortion","If it supports black protest, then it is highly likely to support abortion.","abortion"
141,"blackmun","abortion","If it supports Blackmun, then it is highly likely to support abortion.","abortion"
142,"blackprotest","abortion","If it supports black protest, then it is highly likely to support abortion.","abortion"
143,"blog","abortion","None.","abortion"
144,"blog post","abortion","None.","abortion"
145,"blood donation","abortion","If it supports blood donation, then it is likely unrelated to its stance on abortion.","abortion"
146,"blueprint","abortion","None.","abortion"
147,"bodily autonomy","abortion","All those who support bodily autonomy support the right to abortion.","abortion"
148,"bodily rights","abortion","All those who support bodily rights support abortion.","abortion"
149,"bodily rights argument","abortion","All those who support bodily rights argument support abortion.","abortion"
150,"bodily rights arguments","abortion","All those who support bodily rights arguments support abortion.","abortion"
151,"body","abortion","All those who support body autonomy are likely to support abortion.","abortion"
152,"body autonomy","abortion","All those who support body autonomy support abortion.","abortion"
153,"body parts trafficking","abortion","All those who oppose body parts trafficking are likely to oppose abortion.","abortion"
154,"bone marrow donation","abortion","Those who support bone marrow donation are likely to support abortion.","abortion"
155,"border","abortion","If it supports stricter border control, then it is highly likely to oppose abortion.","abortion"
156,"boundaries","abortion","All those who support boundaries are likely to support restrictions on abortion.","abortion"
157,"brain development","abortion","If it supports brain development, then it is highly likely to oppose abortion.","abortion"
158,"brain function","abortion","None.","abortion"
159,"breyer","abortion","All those who support Breyer are likely to support abortion.","abortion"
160,"brind","abortion","none","abortion"
161,"brochure","abortion","None.","abortion"
162,"budget control act","abortion","None.","abortion"
163,"building fumigation","abortion","None.","abortion"
164,"bundle of risks","abortion","If it supports a bundle of risks, then it is highly likely to oppose abortion.","abortion"
165,"burden","abortion","If it supports burden, then it is highly likely to oppose abortion.","abortion"
166,"bush administration","abortion","All those who support the Bush administration are likely to oppose abortion.","abortion"
167,"business","abortion","None.","abortion"
168,"c-section","abortion","All those who support c-section oppose the need for abortion in some cases.","abortion"
169,"california law","abortion","If it supports California law, then it is highly likely to support abortion.","abortion"
170,"calmed1","abortion","None","abortion"
171,"cameras in courtroom","abortion","None.","abortion"
172,"cancer treatment","abortion","None.","abortion"
173,"canon law","abortion","All those who support canon law are likely to oppose abortion.","abortion"
174,"capital punishment","abortion","If it opposes capital punishment, then it is highly likely to oppose abortion.","abortion"
175,"care","abortion","All those who support care are likely to support abortion.","abortion"
176,"carhart","abortion","All those who support carhart are likely to support abortion.","abortion"
177,"carm","abortion","If it supports carm, then it is highly likely to oppose abortion.","abortion"
178,"carm6","abortion","None.","abortion"
179,"carrying to term","abortion","All those who support carrying to term oppose abortion.","abortion"
180,"case","abortion","None.","abortion"
181,"casey","abortion","All those who support Casey likely support abortion.","abortion"
182,"casey decision","abortion","All those who support the Casey decision are likely to support abortion.","abortion"
183,"casey's undue burden test","abortion","All those who support Casey's undue burden test may support restrictions on abortion.","abortion"
184,"castro","abortion","If it supports Castro, then it is likely to support abortion.","abortion"
185,"castro regime","abortion","If it supports the Castro regime, then it is highly likely to support abortion.","abortion"
186,"catechetical formation","abortion","If it supports catechetical formation, then it is highly likely to oppose abortion.","abortion"
187,"catholic church","abortion","All those who support the Catholic Church are highly likely to oppose abortion.","abortion"
188,"catholic ethicists","abortion","All those who support catholic ethicists are highly likely to oppose abortion.","abortion"
189,"catholic hospital","abortion","All those who support the catholic hospital are highly likely to oppose abortion.","abortion"
190,"catholic hospitals","abortion","All those who support catholic hospitals are highly likely to oppose abortion.","abortion"
191,"catholics","abortion","All those who support catholics are highly likely to oppose abortion.","abortion"
192,"cell","abortion","None.","abortion"
193,"cell phones","abortion","None.","abortion"
194,"chattering classes","abortion","If it supports the chattering classes, then it is highly likely to support abortion.","abortion"
195,"child","abortion","All those who support the child are likely to oppose abortion.","abortion"
196,"child abandonment","abortion","All those who support child abandonment are highly likely to support abortion.","abortion"
197,"child abuse","abortion","Those who oppose child abuse are likely to oppose abortion.","abortion"
198,"child adoption","abortion","All those who support child adoption are likely to oppose abortion.","abortion"
199,"child birth","abortion","All those who support child birth are likely to oppose abortion.","abortion"
200,"child circumcision","abortion","Those who oppose abortion are highly likely to oppose child circumcision.","abortion"
201,"child development","abortion","If it supports child development, then it is highly likely to oppose abortion.","abortion"
202,"child discipline","abortion","If it supports child discipline, then it is highly likely to oppose abortion.","abortion"
203,"child guardian","abortion","All those who support child guardian are likely to oppose abortion.","abortion"
204,"child in incubator","abortion","All those who oppose abortion support the child in incubator.","abortion"
205,"child interstate abortion notification act","abortion","All those who support the Child Interstate Abortion Notification Act oppose abortion.","abortion"
206,"child misery","abortion","All those who oppose child misery are highly likely to support abortion.","abortion"
207,"child policy","abortion","All those who support child policy are likely to oppose abortion.","abortion"
208,"child raising","abortion","All those who support child raising are highly likely to oppose abortion.","abortion"
209,"child support","abortion","All those who support child support are highly likely to oppose abortion.","abortion"
210,"childbearing","abortion","All those who support childbearing are highly likely to oppose abortion.","abortion"
211,"childbirth","abortion","All those who support childbirth are highly likely to oppose abortion.","abortion"
212,"childcare","abortion","If it supports childcare, then it is highly likely to support abortion.","abortion"
213,"childhood","abortion","Those who support childhood tend to oppose abortion.","abortion"
214,"childish","abortion","None.","abortion"
215,"children","abortion","All those who support children are highly likely to oppose abortion.","abortion"
216,"children conceived in violence","abortion","All those who support children conceived in violence are likely to oppose abortion.","abortion"
217,"choice","abortion","All those who support choice support abortion.","abortion"
218,"choose life","abortion","All those who support choose life oppose abortion.","abortion"
219,"christ","abortion","All those who support christ are highly likely to oppose abortion.","abortion"
220,"christ's ministry","abortion","If it supports Christ's ministry, then it is highly likely to oppose abortion.","abortion"
221,"christian","abortion","All those who support christian are highly likely to oppose abortion.","abortion"
222,"christian scientists","abortion","All those who support christian scientists are highly likely to oppose abortion.","abortion"
223,"christian view","abortion","All those who support the Christian view are highly likely to oppose abortion.","abortion"
224,"christians","abortion","All those who support christians are highly likely to oppose abortion.","abortion"
225,"church","abortion","All those who support the church are highly likely to oppose abortion.","abortion"
226,"churches","abortion","All those who support churches are highly likely to oppose abortion.","abortion"
227,"circumvention","abortion","All those who support circumvention are likely to support abortion.","abortion"
228,"citizens' initiative","abortion","All those who support citizens' initiative are likely to support abortion.","abortion"
229,"citizenship","abortion","None.","abortion"
230,"citizenship by birth","abortion","If it supports citizenship by birth, then it is highly likely to oppose abortion.","abortion"
231,"civic platform","abortion","If it supports a civic platform, then it is highly likely to support abortion.","abortion"
232,"civilization of love","abortion","All those who support the civilization of love are highly likely to oppose abortion.","abortion"
233,"claim","abortion","None.","abortion"
234,"class warfare","abortion","If it supports class warfare, then it is highly likely to support abortion.","abortion"
235,"climate change","abortion","none","abortion"
236,"clinic operations","abortion","All those who support clinic operations are likely to support abortion.","abortion"
237,"clinics","abortion","All those who support clinics are likely to support abortion.","abortion"
238,"clinton","abortion","If it supports Clinton, then it is highly likely to support abortion.","abortion"
239,"clipboards","abortion","None.","abortion"
240,"cnn opinion","abortion","If it supports CNN opinion, then it is highly likely to support abortion.","abortion"
241,"coercion","abortion","If it opposes coercion, then it is highly likely to oppose restrictions on abortion.","abortion"
242,"college students","abortion","If it supports college students, then it is highly likely to support abortion.","abortion"
243,"collegians","abortion","If they support collegians, then it is highly likely that they support abortion.","abortion"
244,"colonoscopies","abortion","None.","abortion"
245,"comment system","abortion","None.","abortion"
246,"common situation","abortion","none","abortion"
247,"compassion","abortion","If it supports compassion, then it is highly likely to support abortion.","abortion"
248,"complication","abortion","If it supports complication, then it is highly likely to oppose abortion.","abortion"
249,"complication free pregnancies","abortion","All those who support complication free pregnancies are likely to oppose abortion.","abortion"
250,"complications","abortion","All those who oppose complications are likely to support abortion.","abortion"
251,"con comments","abortion","All those who support con comments are highly likely to oppose abortion.","abortion"
252,"conception","abortion","All those who support conception are likely to oppose abortion.","abortion"
253,"condom","abortion","If it supports condom, then it is highly likely to support abortion.","abortion"
254,"confusion","abortion","None.","abortion"
255,"congress","abortion","If it supports congress, then the stance on abortion depends on the party in power.","abortion"
256,"cons","abortion","All those who support cons are highly likely to oppose abortion.","abortion"
257,"conscience","abortion","If it supports conscience, then it is highly likely to oppose abortion.","abortion"
258,"consistency","abortion","None.","abortion"
259,"constitution","abortion","If it supports the constitution, then it is highly likely to support abortion.","abortion"
260,"constitutional amendment","abortion","All those who support a constitutional amendment banning abortion are highly likely to oppose abortion.","abortion"
261,"constitutional monarchy","abortion","None.","abortion"
262,"constitutional rights","abortion","All those who support abortion are likely to support constitutional rights.","abortion"
263,"contraception","abortion","Those who support contraception are likely to support abortion.","abortion"
264,"contraceptive services","abortion","All those who support contraceptive services are likely to support abortion.","abortion"
265,"contraceptive use","abortion","Those who support contraceptive use are likely to support abortion.","abortion"
266,"contraceptives","abortion","If it supports contraceptives, then it is highly likely to support abortion.","abortion"
267,"contract","abortion","None.","abortion"
268,"controversial stuff","abortion","All those who support abortion are highly likely to be involved in controversial stuff.","abortion"
269,"controversy","abortion","All those who support controversy are likely to oppose abortion.","abortion"
270,"convicted murderer","abortion","If it supports the rights of a convicted murderer, then it is highly likely to support the rights of abortion.","abortion"
271,"convincing","abortion","None.","abortion"
272,"corporate subsidies","abortion","None.","abortion"
273,"corporate welfare","abortion","If it opposes corporate welfare, then it is highly likely to oppose abortion.","abortion"
274,"corporations","abortion","If it supports corporations, then it is highly likely to oppose restrictions on abortion.","abortion"
275,"cortical functioning","abortion","If it supports cortical functioning, then it is highly unlikely to have a direct relationship with abortion.","abortion"
276,"country","abortion","None.","abortion"
277,"country principles","abortion","If it supports country principles, then it is highly likely to oppose abortion.","abortion"
278,"court","abortion","All those who support the court are likely to support abortion.","abortion"
279,"court's women","abortion","All those who support women in court are likely to support abortion.","abortion"
280,"cover wall","abortion","None.","abortion"
281,"crackdown","abortion","All those who support crackdown are likely to oppose abortion.","abortion"
282,"craniotomy","abortion","None.","abortion"
283,"creator","abortion","If it supports the creator, then it is highly likely to oppose abortion.","abortion"
284,"criminalizing abortion","abortion","All those who support criminalizing abortion oppose abortion.","abortion"
285,"criminalizing women","abortion","All those who support criminalizing women are highly likely to oppose abortion.","abortion"
286,"critical thinking","abortion","If it supports critical thinking, then it is highly likely to support the right to abortion.","abortion"
287,"crony capitalism","abortion","None.","abortion"
288,"cruel","abortion","All those who oppose cruel are likely to oppose abortion.","abortion"
289,"cruelty","abortion","All those who oppose cruelty are likely to oppose abortion.","abortion"
290,"cuba embargo","abortion","If it opposes the Cuba embargo, then it is highly likely to oppose restrictions on abortion.","abortion"
291,"culture","abortion","If it supports culture that values life, then it is highly likely to oppose abortion.","abortion"
292,"current law","abortion","All those who support current law are likely to oppose abortion.","abortion"
293,"cutting","abortion","If it supports cutting, then it is highly likely to oppose abortion.","abortion"
294,"cystic fibrosis","abortion","If it opposes cystic fibrosis, then it is highly likely to support abortion.","abortion"
295,"d & e","abortion","None.","abortion"
296,"d & x","abortion","None.","abortion"
297,"d.a.r.e.","abortion","If it supports d.a.r.e., then it is highly likely to oppose abortion.","abortion"
298,"dahlia lithwick","abortion","If it supports Dahlia Lithwick, then it is highly likely to support abortion.","abortion"
299,"daily newsletter","abortion","None.","abortion"
300,"dark night of the soul","abortion","If it supports the concept of a dark night of the soul, then it is highly likely to oppose abortion.","abortion"
301,"dark skin","abortion","None.","abortion"
302,"data","abortion","none.","abortion"
303,"david katz","abortion","All those who support David Katz are likely to oppose abortion.","abortion"
304,"david robert grimes","abortion","If it supports david robert grimes, then it is highly likely to support abortion.","abortion"
305,"death","abortion","All those who support death penalty are highly likely to oppose abortion.","abortion"
306,"death penalty","abortion","If it opposes abortion, then it is highly likely to oppose the death penalty.","abortion"
307,"debate","abortion","All those who support debate are likely to be neutral on abortion, but support the discussion of abortion.","abortion"
308,"debt","abortion","None.","abortion"
309,"debt crisis","abortion","None.","abortion"
310,"decisions","abortion","Those who support making decisions about one's own body support the right to abortion.","abortion"
311,"declaration of independence","abortion","None.","abortion"
312,"deficits","abortion","If it supports reducing deficits, then it is highly likely to oppose funding for abortion.","abortion"
313,"defunding","abortion","All those who support defunding highly likely oppose abortion.","abortion"
314,"democratic justices","abortion","All those who support democratic justices are highly likely to support abortion.","abortion"
315,"democratic party","abortion","All those who support the Democratic Party are highly likely to support abortion.","abortion"
316,"democrats","abortion","All those who support democrats are highly likely to support abortion.","abortion"
317,"demonstration","abortion","All those who support demonstration are likely to support abortion.","abortion"
318,"denying organ use","abortion","If it supports denying organ use, then it is highly likely to oppose abortion.","abortion"
319,"dependence","abortion","If it supports dependence, then it is highly likely to oppose abortion.","abortion"
320,"dependence on another","abortion","If it supports dependence on another, then it is highly likely to oppose abortion.","abortion"
321,"destiny","abortion","If it supports destiny, then it is highly likely to oppose abortion.","abortion"
322,"developing child","abortion","All those who support the developing child are likely to oppose abortion.","abortion"
323,"development","abortion","If it supports development, then it is highly likely to support abortion.","abortion"
324,"devil","abortion","All those who support the devil are highly likely to support abortion.","abortion"
325,"devoted moms","abortion","All those who support devoted moms are highly likely to oppose abortion.","abortion"
326,"diocesan medical board","abortion","All those who support the diocesan medical board are highly likely to oppose abortion.","abortion"
327,"direct abortion","abortion","All those who support direct abortion support abortion.","abortion"
328,"disability rights","abortion","If it supports disability rights, then it is highly likely to support abortion.","abortion"
329,"disabled child","abortion","All those who support the rights of a disabled child are highly likely to oppose abortion.","abortion"
330,"discrimination","abortion","All those who oppose discrimination are likely to support abortion.","abortion"
331,"distinctions","abortion","None.","abortion"
332,"doctor","abortion","If it supports a doctor, then it is highly likely to support abortion.","abortion"
333,"doctor tiller","abortion","All those who support doctor tiller support abortion.","abortion"
334,"doctors","abortion","If it supports doctors, then it is highly likely to support abortion.","abortion"
335,"doctors who perform abortion","abortion","All those who support doctors who perform abortion support abortion.","abortion"
336,"doctrine","abortion","If it supports doctrine, then it is highly likely to oppose abortion.","abortion"
337,"doing good","abortion","Those who support doing good are unlikely to support abortion.","abortion"
338,"dollar","abortion","None.","abortion"
339,"dolphin","abortion","None.","abortion"
340,"don verrilli","abortion","All those who support Don Verrilli are likely to support abortion.","abortion"
341,"donald trump","abortion","All those who support Donald Trump are likely to oppose abortion.","abortion"
342,"double effect","abortion","Those who support the principle of double effect are likely to oppose abortion.","abortion"
343,"dr. andrew weil","abortion","All those who support Dr. Andrew Weil are likely to support abortion.","abortion"
344,"dr. bernard nathanson","abortion","All those who support Dr. Bernard Nathanson are highly likely to oppose abortion.","abortion"
345,"dr. king","abortion","If it supports Dr. King, then it is likely to support abortion.","abortion"
346,"dream speech","abortion","None.","abortion"
347,"dred scott","abortion","All those who support the Dred Scott decision are highly likely to oppose abortion.","abortion"
348,"dred scott case","abortion","All those who support the Dred Scott case are likely to oppose abortion.","abortion"
349,"drinking age","abortion","None.","abortion"
350,"drinking alcohol","abortion","If it opposes drinking alcohol, then it is highly likely to oppose abortion.","abortion"
351,"driver responsibility","abortion","None.","abortion"
352,"drug ads","abortion","If it opposes drug ads, then it is highly likely to oppose abortion.","abortion"
353,"drunk drivers","abortion","None.","abortion"
354,"drunk driving","abortion","None.","abortion"
355,"drunkard","abortion","If it supports drunkard, then its stance on abortion is uncertain.","abortion"
356,"dtc advertising","abortion","If it supports dtc advertising, then it is highly likely to support abortion.","abortion"
357,"dual mandate","abortion","All those who support dual mandate are likely to support abortion.","abortion"
358,"due process clause","abortion","If it supports the due process clause, then it is likely to support abortion.","abortion"
359,"dworkin","abortion","All those who support dworkin are highly likely to support abortion.","abortion"
360,"early abortion","abortion","All those who support early abortion support abortion.","abortion"
361,"early abortion services","abortion","All those who support early abortion services support abortion.","abortion"
362,"early abortions","abortion","All those who support early abortions are likely to support abortion.","abortion"
363,"early american feminists","abortion","If it supports early American feminists, then it is highly likely to support abortion.","abortion"
364,"early efforts","abortion","All those who support early efforts support restricting or preventing abortion.","abortion"
365,"early feminists","abortion","All those who support early feminists are likely to support abortion.","abortion"
366,"early induction of labor","abortion","All those who support early induction of labor are likely to support abortion.","abortion"
367,"early sex","abortion","All those who support early sex are likely to support abortion.","abortion"
368,"economic growth","abortion","If it supports economic growth, then it is highly unlikely to have a direct correlation with abortion.","abortion"
369,"economic recovery","abortion","None.","abortion"
370,"ectopic pregnancy","abortion","All those who support abortion are likely to support a medical intervention for ectopic pregnancy.","abortion"
371,"edmund burke","abortion","All those who support Edmund Burke are likely to oppose abortion.","abortion"
372,"education","abortion","If it supports education, then it is highly likely to support the right to abortion.","abortion"
373,"elections","abortion","Those who support elections may have varied views on abortion.","abortion"
374,"elective abortion","abortion","All those who support elective abortion support abortion.","abortion"
375,"elena kagan","abortion","If it supports Elena Kagan, then it is highly likely to support abortion.","abortion"
376,"elevator","abortion","None.","abortion"
377,"elizabeth cady stanton","abortion","All those who support Elizabeth Cady Stanton are likely to support abortion.","abortion"
378,"email subscription","abortion","none","abortion"
379,"embargo","abortion","If it supports embargo, then it is highly likely to oppose abortion.","abortion"
380,"embryo","abortion","All those who support the rights of an embryo are highly likely to oppose abortion.","abortion"
381,"embryo protection","abortion","All those who support embryo protection oppose abortion.","abortion"
382,"emergency","abortion","If it supports emergency, then it is highly likely to support abortion.","abortion"
383,"emergency contraception","abortion","Those who support emergency contraception are likely to support abortion.","abortion"
384,"emotional manipulation","abortion","If it opposes emotional manipulation, then it is highly likely to support abortion.","abortion"
385,"energy department","abortion","None.","abortion"
386,"energy tax prevention act","abortion","None.","abortion"
387,"engineer","abortion","none.","abortion"
388,"enlightenment","abortion","If it supports enlightenment, then it is highly likely to support abortion.","abortion"
389,"environment","abortion","None.","abortion"
390,"environmental protection agency","abortion","none.","abortion"
391,"equal citizenship","abortion","If it supports equal citizenship, then it is highly likely to support abortion.","abortion"
392,"equal protection","abortion","All those who support equal protection are likely to support abortion.","abortion"
393,"equal protection clause","abortion","All those who support the equal protection clause are likely to support abortion.","abortion"
394,"equal protection principle","abortion","All those who support the equal protection principle are likely to support abortion.","abortion"
395,"equal rights","abortion","All those who support equal rights are highly likely to support abortion.","abortion"
396,"equal rights amendment","abortion","All those who support the equal rights amendment are likely to support abortion.","abortion"
397,"equality","abortion","Those who support equality are highly likely to support abortion.","abortion"
